"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Sleepin_Dragon","4 July 2023","Even if you're not the biggest fan on Earth of animation, I'd urge you to give this film a try. It has such an incredibly broad appeal, it really does push the boundaries, and perhaps at the point in time that it was made, raise the bar on animation.The story is great, and Shameik Moore does a cracking job as the central hero, but the deal success comes with the animation, it is quite remarkably good, with subsequent viewings you'll spot more and more, it was clearly a labour of love for the team behind it.It is a dazzling, dizzying affair, there is so much happening on, but it's all cohesive, it's not one of those films that leaves you confused and bewildered, it really does come together nicely.Plenty of action, plenty of surprises, I urge you to watch it, and then definitely get and see the mind-blowing follow up.9/10.","
            9/10
            "
"vancewinstead","15 December 2018","This movie was absolutely incredible. From the animation, to the storytelling, to the characters this movie is completely one of a kind. It is easily the best looking animated movie of the year (no surprise there), but what really caught me off guard was the story they were able to tell in such a short amount of time. Each character has their own distinct personality and is given their own separate characterization without making the movie feel bloated. I knew I would end up liking this movie, but this movie has completely exceeded my expectations. If you enjoy superheros or animation you should 100% definitely watch it in a theater.","
            10/10
            "
"FairlyAnonymous","4 January 2019","As much as I enjoy this movie (and as an animator/storyartist I love the visuals!) I have to honest and say it is a bit of an unfocused mess. The reason why you should see this movie is because it is the first in what will hopefully be a trend of innovative and creative animated movies that aren't just looking over the shoulders of what Disney and Pixar are doing. This movie is its own creature and I think it deserves to be seen just for the visuals and the opportunity to hopefully support this trend...However, I would only say that if the movie has some substance to it.... which it does. I recommend people see this movie, but it should be noted that I think this movie may be getting the ""Kubo"" treatment where an animated film is visually impressive to such a degree that people gloss over bad writing because everything they are looking at is so cool.The first half of this movie is brilliant. I think just about everything in the first half works really well and is super effective. Miles Morales felt like a real kid with some real kid issues, Peter B Parker was funny, tragic and fleshed out, and Gwen... existed (we'll get to her later). My eyes were glued to the screen and I was excited for where the story would go as I was genuinely surprised at a couple twists and turns in the story.Then, a certain moment happened in the movie where I was taken out of the film and went, ""Wait... oh shoot this is going downhill real fast."" It was the introduction of all of the other spider-verse characters. At that moment the film shifted gears into an entirely different film from the first half. Does Miles Morales fit in with the professionals? Can Miles Morales impress them? Everyone seems to hate him due to his lack of experience! Can Miles Morales take a leap of faith (which he already did in the beginning of the movie)??!?! Is Miles Morales even relevant to the story?!?!?!?! All of these sudden new themes and plot developments completely derail what the first half of the film was setting up to such a degree that it felt like a giant schism cut through the film and the second half of the film was waving goodbye to the first half.I'll be clear that I have no issue with other spider-verse characters sharing screen-time in the film, the issue is that they don't add much in terms of character development or interaction with Miles. The characters should serve to help Miles grow, but in this movie they just seem like another pair of fists to punch bad guys, and there is no better example of this than...Gwen Stacey.Gwen Stacey has the unfortunate issue of being completely irrelevant to the story when she should be an important and vital character to Peter B Parker's/Miles Morales' character growth and should have an arc of her own. This is a character who witnessed Peter Parker (her best friend) die and Peter B Parker is someone who witnessed Gwen Stacey die in her universe! WHY DON'T THEY DISCUSS THIS!!! Peter B Parker should be surprised and excited to see someone he knew as dead alive again and she should be happy to see her best friend once more! Instead, the two characters just... punch bad guys... like everyone else. No growth or development between the two.To make matters worse, Gwen doesn't even really work to help Miles Morales develop as a character. In the beginning of the film she is built up to be one of the main characters, but in the second half she doesn't develop any further than she did in the beginning. She experiences no character growth nor does she help develop any other characters. She just exists in the film.I could go on for a while about all of the different weird pacing issues in the second half of the film such as Miles Morales suddenly getting super powerful and skilled out of nowhere (it's odd that people complain about ""Mary Sues"" in film but don't complain about Miles Morales going from zero to hero in one scene), or a single cut from a comedy scene to a tragic ""friends splitting up"" scene, some loose character threads such as Miles' dad telling cops to chase spider-man but we never see them do it, and many other instances of odd pacing choices and poor juxtapositions of emotional story beats.But, I will end this on a positive note: All of the characters are enjoyable when they get their moment and I think the writing on the father was really good. He wasn't your typical ""larger than life"" father but a very honest, strong, but stubborn dad who has his flaws yet is very likable and reasonable. I wish him and Uncle Aaron had some scenes together and their dynamic was a bit more fleshed out, but as is I still like them regardless of the additional scenes they deserved.Go see it if you want to support innovative and risky animation, but be warned that it is not a perfect film (other than visually).","
            7/10
            "
"bob the moo","22 September 2019","There was a lot of hype about this film, which surprised me because when I first glanced at the trailer I just dismissed what I saw as a direct-to-TV film. The hype gave me pause but at the same time made me wait so that it had time to settle into reality. Coming to it outside of the hype and awards, I was open to what to expect, and was pleasantly surprised. What pleased me was how creative it was in several areas of production. In terms of narrative it took the risk to be silly with its alternative Spider-Men, but was able to balance that with an engaging and reasonably serious core narrative. It managed to be funny, fun, engaging, and enjoyable all the way through.Animation wise it mixed many styles and approaches very well. Even when it felt OTT with the visuals, it still somehow worked and I didn't feel beaten down or tired as sometimes can happen with visual overload. The overall design of the film added to this, with good use of music, shot framing, and animation to make it feel very cool and fluid throughout. Production-wise, it felt like it ""got"" the sense of humour of the script and made that work more than it otherwise would have done. Voice performances also seem to get this, and everyone plays their characters well.Overall, it is creative, funny, engaging, and exciting for those that get into it and accept it on its own terms.","
            10/10
            "
"benribble","15 December 2018","Going into this I had high hopes but, was afraid It might not be as good as the hype says But, damn... This movie is underhyped. I loved every second of it. The animation was gorgeous, the characters were so fun and the soundtrack, flawless. The twists, you never see coming and don't even get me started on how beautiful the end fight scene was. This film is the best animated film of 2018 and in my opinion, the best film of 2018 definitely worth seeing!","
            10/10
            "
"mahmus","21 December 2018","Spider-Man: Into the Spider-Verse is one of the most beautiful animated movies I've seen and possibly the best looking superhero movie of all time; with its bright neon colors combined with its comic book asthetic, it creates a world unlike anything I've seen since the LEGO Movie.
The characters are all great. Miles Morales is a fantastic protagonist; understandably scared at the prospect of being Spider-Man, but excited to learn. His relationship with his father and Peter Parker are some of the most emotiinal scenes in the movie. Gwen Stacy is also a great supporting character, as are thr rest of the spider people.
The villains are fun and the action is jaw dropping.
It's also tear jerking tribute to Stan Lee.
This is the best Spider-Man movie by far.","
            10/10
            "
"Anurag-Shetty","16 December 2018","Spider-Man: Into the Spider-Verse tells the story of Miles Morales(Shameik Moore). When Miles becomes the Spider-Man of his universe, he meets various versions of the wall-crawler from parallel universes. Now, all the Spideys must team up to put an end to a danger, that could alter reality in terrible ways.Spider-Man: Into the Spider-Verse is a mind-blowing film. Directors Bob Persichetti, Peter Ramsey, Rodney Rothman & writer Phil Lord, have given us the best big screen adaptation of Spider-Man & that's saying something. I love the fact that this movie, makes us feel nostalgic about the previous big screen adaptations of Spider-Man. The animation is awe-inspiring. The comic book format of the animation is unique & is perfect for one of the most loved comic book characters. The 3D is amazing(watch this film on the biggest screen possible, preferably IMAX). The action set pieces, the humour & the emotional scenes are perfectly balanced, throughout. The voice-over work is unforgettable. Shameik Moore is spectacular as Miles Morales. Moore brings that much needed vulnerability to his character. Jake Johnson is outstanding as Peter B. Parker. Hailee Steinfeld is brilliant as Gwen Stacy. Mahershala Ali is perfect as Uncle Aaron. Brian Tyree Henry is excellent as Jefferson Davis. John Mulaney, Kimiko Glenn & Nicolas Cage are awesome as Spider-Ham, Peni Parker & Spider-Man Noir, respectively. Kathryn Hahn & Liev Schreiber are superb as Doc Ock & Wilson Fisk, respectively. Lily Tomlin, Luna Lauren Velez, Zoe Kravitz & Chris Pine are great as Aunt May, Rio Morales, Mary Jane & Peter Parker, respectively. Everything about Spider-Man: Into the Spider-Verse is jaw-dropping! A must watch. Swing by your nearest multiplex, immediately!","
            7/10
            "
"Top_Dawg_Critic","13 March 2019","Didn't find the graphics that appealing and the story was ok, but nothing spectacular. I'm guessing anyone into anime or young kids would've enjoyed this more than teens and older viewers. 7/10 from me","
            10/10
            "
"grabeeleverett","20 December 2018","Okay first of all, WHAT SONY? A good animated film?! A GREAT animated film?! Don't has reedemed themselves in my book and have created the DEFINITIVE Spider-Man movie in the process.","
            10/10
            "
"chriscarlisle25","15 December 2018","I knew that this movie would be good from the first moment I heard about it last year, and it did not disappoint me one bit. It met all of my expectations, and then went above and beyond them. The animation is a blend of CGI, stop animation, pop/comic book art and realism. The vibrant colors pop out at you, and the action sequences really enthrall. A very captivating and beautiful piece of art is this movie, and the writing choices leave nothing to be desired. The story is that of the traditional starting superhero with a bunch of twists thrown in. The movie itself actually follows past comics for the most part, with some minor changes here and there. A true Spider-Man, or comic book fan in general, will not have anything to criticize in this movie. Everything that fans want to see out of Spidey(s) is in this movie. There are multiple different variations of Spider-Man in the film, and all of them have their special moments to shine. The end credit scene just rockets this movie up past my already positive expectations, and it gets a 10/10 from me! The movie can be enjoyed by both young and old alike, and trust me, it will blow your mind! Best animated film of 2018, and one of the best superhero movies ever made. It deserves any and all awards and kudos it will surely garner.","
            9/10
            "
"vincenttciccarello","20 December 2018","Amazing movie. Great animation, the best Spider-Man movie in my opinion","
            10/10
            "
"zorba-36271","14 December 2018","Loved this movie. Great action. 3D was awesome since it's in cartoon format. Will go see it again.","
            7/10
            "
"educallejero","25 February 2019","The movie is visually spectacular (with the exceptions of a handful of blurry scenes filled with blues and reds, maybe for 3D purposes?). The colours and character designs are gorgeous. The dynamics of the action and the camera work is superb. All of this is ""all time great"" level.But... The story is ultra basic, therefore quite boring for about 45 impossibly predictable minutes. The jokes, while clever for a movie for kids, just didn't make me laugh. Not even one time. I'm not sure why. Also, the story lacks all kinds of depths. It's literally no sense, but I don't think is the focus of the movie, because...What really works is the theme of the film. Everybody can ""wear the mask"". And they proved it by showing it, not depending on melodramatic and cliched monologues, but with the story itself, that included different versions of totally different people ""wearing the masks"".The emotional bits also work well and kind of justify the boring preparation for it, developing Miles Morales origin story and his family and problems really well. Simple, but well done.
For last, the villains and its plans are just almost pointless and beyond under developed. There was probably no enough time to give them better and more coherent plans.
A good movie, visually superior with a well done and coherent message that actually works in the story (sometimes these superhero movies contradict themselves and they are about the ""problem with violence""... by using violence to solve the problem. No here. Spiderman is not white, black, female, old or young. It can be anybody. And they are good).","
            10/10
            "
"hjemmefra","21 December 2018","Pituitary overload, pop art sugar rush, bugeyed & reeling amazed at the sheer level of originality barrelling at you at the speed of light.
Animation reaching for it´s potential and massaging your brain till your spine tingles. Needs to be experienced.","
            9/10
            "
"jackgdemoss","17 December 2018","This film was phenomenal for so many reasons. First and most importantly, it was the most visually impressive film I have seen to this day. The animation style alone had such a mystical and wonderous quality to it. The animators didn't stop there, however. They added so many little fun details that made me feel like I was watching some sort of blend between comic and movie. In addition to the gorgeous visual nature of Spider-Man, I was impressed by both the humor and the meta references. The reference to the cringey Spider-Man 3 scene and the post-credits meme reference were my personal favorites. There were tons of little details that I am sure I never truly appreciated because I have never been a consumer of comic books, but I have to imagine that this film is even more special to Marvel comic fans. The only gripe that I have with Spider-Man is that it failed to keep my attention in act 3. It was longer than it should have been, and it would have benefited greatly by cutting down 10 minutes. With that being said, this is the best movie I have seen in a few months and I hope that my review reaches someone who was not going to see it and urges them to reconsider.","
            10/10
            "
"kjproulx","11 December 2018","Growing up, I grew an appreciation for the character of Spider-Man that I've never been able to develop for any other comic book character. It was Sam Raimi's original live-action trilogy that hooked me and had me scrounging for more. Watching countless episodes of every cartoon iteration, and even starting to read a few of the comics, I found myself becoming a huge fan of this generational icon. Once Spider-Man 3 hit theatres, the character had lost all hope on the big screen, until Andrew Garfield took the role from Tobey Maguire, which didn't last too long, and also crashed and burned. Finally, he found his footing in the Marvel Cinematic Universe, played by Tom Holland, but none of that matters when watching Spider-Man: Into the Spider-Verse. Not only is this the best that this character has been in a while, but I believe there's a real argument to made that this is possibly the greatest feature-length film based on this character, period.In this film, which is loosely based off of storylines that are very similar to how this movie plays out, Spider-Man: Into the Spider-Verse follows Miles Morales as he's bitten by a radioactive spider and develops the same (and more) powers as his hero, Spider-Man. After an event opens a portal, it's revealed that his universe isn't the only one. There are endless dimensions out there with parallel characters and creatures, all with similar backstories. From Spider-Gwen to Spider-Ham, this film explores the classics as well as the bizarre, which I fear will probably turn off some average moviegoers who haven't experienced these characters yet, but if you can't embrace a film like that, it's probably not for you anyways.From the very first teaser trailer, I was very intrigued by the look of this film and how different it looked from most animated films out there today. With only a couple of notable films in Cloudy with a Chance of Meatballs and Arthur Christmas, Sony Pictures hasn't had the best track record in terms of releasing animated movies theatrically. Spider-Man: Into the Spider-Verse has given new life to that notion, because this isn't only the best they've ever produced in my opinion, but it's the best animated movie that has come out all year. The unique style leaps off the screen and made me find another layer to love, on top of the fantastic storyline and characters surrounding it.Yes, the origin story of Peter Parker is the one that everyone knows. That is very much present here again, and nearly every one of these characters share similar backgrounds, but it feels as though the filmmakers expect the audience to be in on the joke of that. This movie is very meta at times, and it works very well if you're invested in the movie as a whole. At the emotional core of this movie is how these characters differ from one another and how certain circumstances can be worse than others. There are some fantastic life lessons to be learned by children here, and for that, I only loved this movie even more.In the end, Spider-Man: Into the Spider-Verse impressed me on many levels. It gives you the Spider-Man action that you've come to expect from this character, as well as giving new life to it. The character of Miles Morales has just as many layers to his story as the classic Peter Parker one, but the inclusion of each one of the side characters here fleshes him out even more. This is one of the best superhero origin stories I've seen on the big screen in years. Filled with heart, emotion, plenty of action, and eye-candy as far as the eye can see, Spider-Man: Into the Spider-Verse is one of my favourite films of the year.","
            10/10
            "
