"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Sleepin_Dragon","15 November 2023","Marlin loses his wilful son Nemo, and the fact that 71% of the Earth is water, that's a lot of water to find a single fish.Back to a time where Disney Pixar were giving us truly memorable, meaningful and wonderful films. Finding Nemo surely rates as one of the great animations.This film is both funny and moving, it's a film that that whole family can enjoy, I'm sure this will end up on over thr upcoming Christmas period, it usually does, and it always makes us giggle, Ellen DeGeneres truly does provide the laughs as dippy Dory.I'm only surprised to that the followup took so long, and though I don't think Finding Dory is quite as good, it's still worth seeing.As much as I adore Dory, it's Bruce that I like most, his animation is just perfect.It's moving, it's funny, there is definitely a meaningful story, the animation remains terrific.9/10.","
            10/10
            "
"TheLittleSongbird","3 May 2009","This movie is just gorgeous to look at, really the animation is just stunning, with the blue backgrounds and colourful characters. My only criticism is that although there are some very funny moments, like Doreen speaking whale(Ellen DeGeneres was born to speak whale, really she was) and Barry Humphries's shark, I don't think it is as laugh-out loud funny as Toy Story. Finding Nemo is definitely the most beautiful visually of the Pixar movies, I would certainly pick it over Cars. The music by Thomas Newman was just beautiful, and I always look out for this in a movie, and it was a delight hearing ""Beyond the Sea"" over the end credits. The characters are genuinely memorable, especially Doreen and Bruce. And who can forget the girl Darla, with the Psycho music?(that is really terrifying)The voice talents are very good indeed, especially Ellen DeGeneres, and I liked Willem Dafoe's Gil. Albert Brooks made a wonderfully paranoid father figure, and I loved the plot about Marlin's son Nemo being taken by divers and Marlin (a clown fish) racing to find him. That is simple, but we meet characters like the turtle, so the film is filled with fun, enough to satisfy the fussiest child. In conclusion, 9/10 for the visuals and the characters. Outstanding! Bethany Cox","
            10/10
            "
"moviemanMA","10 July 2005","Can Pixar and Disney miss with a film? Both Toy Story's, A Bugs Life, Monster's Inc., Finding Nemo, and The Incredibles. These movies are instant classics.The movie in focus is Finding Nemo, a story of a clown fish named Marlin (voiced by Albert Brooks), trying to find his son Nemo who was taken away by scuba divers. With the help of a fish named Dory (Ellen Degeneres)Marlin bumps into on his journey, they set out on finding Nemo. The only problem is that Dory suffers from short-term memory loss. She can't remember anything except her name. It's sad but brings a lot of comedy to the movie.Along the way they meet some priceless characters like Crush (voiced by writer/director Andrew Stanton), the thrill seeking sea turtle. They also encounter a trio of friendly sharks, Bruce, Anchor, and Chum. They have sworn to never eat a fish again. They also run into some potentially deadly situations with an ugly deep sea fish, also a huge swarm of jellyfish, and a whale. Marlin and Dory must tough it out and make it to find Nemo.Meanwhile, Nemo is now the new addition to an Australian dentist's office aquarium. There he meets some interesting characters. Peach the starfish, Bloat the blowfish, and more sea dwellers. There Nemo tries to fit in, becoming a member of the tank named ""Shark Bait"". He tries to help out Gill (William Defoe) with his plan to escape from the tank and get everyone out. Nemo must come through in order to see his father ever again. A local pelican named Nigel (Geoffrey Rush) also tries to help out in the escape. Word has spread around the world of Marlin's trip to find his son, reaching Nigel.FInding Nemo is an instant classic. With great lines and unforgettable characters, this movie is a delight. The animation itself is remarkable. It's as though the fish are really swimming. You can even see particles floating in the water. Light shines through and currents make the fish and surrounding react. The animators have done their homework for this picture.This movie is quite an experience. It is a film the whole family can enjoy for years to come. It is a timeless adventure that people can enjoy. Don't let this film drift out to sea...","
            10/10
            "
"tedg","13 June 2003","Spoilers herein.Steve Jobs drags us all into higher awareness. He does so by grabbing our attention by conventional means but does his real work subliminally.In the computer world, what we see is a coherent, accessible approach with appealing style. In the movie world we see the same, except the art of excellent character development and storytelling is substituted for sheer functionality and ease of creativity. In both, we all are pulled by this tractor into a more refined space.And space is what it is all about, in particular a notion of location in space coupled with a higher degree of freedom within that space.This has been a concern of intelligent filmmakers all along. Griffith merged the theatrical space with grand vistas of mass movement and did so from a spot no human would normally have. Welles and Kurosawa played with this, the first by working with architecture, the other by flattening in deep focus. But until the eighties we always had to deal with the reality of the ground -- and the horizon.The real appeal of ""Star Wars"" wasn't the cowboy story or guns, nor the pseudo-religious trappings, though we all thought it was. It was the freedom from that hard bottom, the Earth which we interact with in as consistently as breath and blood. ""Star Wars"" -- and ""2001"" before -- gave a thrill because our visual vocabulary was now expanded spatially rather than ALWAYS being referenced to the floor.Pixar's work has always been cognizant of this new frontier even when owned by Lucas. Under Jobs, every film has become more and more dimensional until now. We don't honk around with the camera as much as I would like, but we do set a new standard for interacting space. Naturally, all else is well crafted but serves this notion of space ? especially the fishtank business.Ted?s Evaluation -- 3 of 4: Worth watching.","
            10/10
            "
"lilfreeek","22 May 2003","Okay, Disney and Pixar did a fabulous job.  The images were so great, the storyline was typical but fun, the characters were well-defined, and the sound was emotive and effective.  And, who could not love a flick that makes references to The Shining, Psycho, and other quality films?I seriously got attached to the little Clown fish, Nemo.  The movie just sucked me in.  Anyway, watch it.  It's worth your time, especially if you enjoy Pixar animation.  The first 10 minutes is a visual overload in a good way.  Very good way.By the way, the voice of Jesus (Willem Dafoe) embodied by a Tiger fish? Awesome.","
            10/10
            "
"vip_ebriega","23 October 2008","My Take: Simply magical, down to the last computer-animated detail. I was at least 13 or 14 years old when this came out, and only now am I reviewing it. But that can't stop me, I have to lay out my sentiments for this clever and occasionally brilliant animated achievement. Not only is it the best, so far, in Pixar's portfolio of animated films, it's one of the very best animated films ever made, period. FINDING NEMO is a well-told fairy tale adventure, but a well-told story is only a bonus compared to the film's awesome look and feel. The movie is visually stunning, with images that flow like living paintings, some of which almost but leaps out the screen. The movie is beautifully crafted, and sometimes, I almost didn't care about anything else. Almost.On the contrary, the story is quite simple. After a tragedy introduced in the opening scenes, Marlin the clown fish (voiced by Albert Brooks) becomes too over-protective of his last son Nemo (voiced by Alexander Gould). Every move he makes is always under the watchful eye of his over-protective father, who couldn't afford to lose him. To prove that he can walk with his own two feet (or is that swim with his own fins?), Nemo approached an anchored divers boat and is abducted by two curious divers and taken far off the Great Barrier Reef. Marlin, guilty for his loss, is determined to find his son, captured by a dentist and placed inside a too-small-for-a-fish aquarium in the dentist's clinic. Along his side is a joyous yet forgetful fish named Dory (voiced by Ellen DeGeneres) who gives a helping fin a long the way, whatever she can remember.This is quite an adventure too. Not only are we introduced to a closer-than-life-like reef, we are also introduced with a clever and elaborate band of characters, including a trio of sharks who swore their lives to be vegetarians (until the call of the wild kicks in), a couple of surfer-dude turtles, a charade-playing school of fish and many other wonders. The animation here is, by far, the most brilliant ones I have ever seen. A colorful and life-filled reef, a forest of jellyfish and a crystal-clear aquarium filled of plastic ornaments have never looked more pristine in this lavish and elaborate adventure. But other than its brilliant design which is considerable enough to recommend the picture, the film is not without a good story, and it is told well. The characters have a great deal of features and characteristics. This is most evident on the character of Dory, who not only has the showmanship of the voice who dubbed her, but also the delight we expect from a true family film.If the story may not apply to you, or you might find it cliché, then FINDING NEMO will still do as a brilliant eye-candy, with one of the best sights I have ever seen in an animated film then and now. Sometimes, sitting in front of a theater or even the small screen and just let the elaborate visuals flow right through you is more than enough to see a movie. Sometimes it's a movie like this one that reminds you the fun that going to movies are.Rating: ***** out of 5.","
            6/10
            "
"FreakingMovieFanatic","15 June 2022","Yes you read that correctly.Finding Nemo had brilliant, breathtaking underwater scenes that blow your mind!! Characters that you connect with, that have emotion, style and humour. The soundtrack is perfect to boot. Honestly what more could you ask for? In glorious 4K HDR with vibrant Dolby Atmos it gives this iconic classic a whole new life!!","
            8/10
            "
"twpain","5 July 2020","Finding Nemo is a very good movie and is really rewatchable! The characters are great and the story is heartwarming. The film is never boring and brings constant laughs for everyone! I highly recommend this film!","
            10/10
            "
"bob the moo","30 September 2003","Scarred by the loss of his wife and eggs, Marlin has over sheltered his only child, Nemo.  However when Nemo's first day at school comes about, that mothering leads Nemo to swim out to the open ocean where he is caught by a scuba diver and be put in a fish tank far away.  Enlisting help from the forgetful Dory, Marlin tracks the boat and his ocean adventure begins.Now as much as a tradition as national holidays, the latest Pixar animation arrives in the UK on a wave (d'oh!) of hype and marketing.  Officially the biggest summer film in the US and all over buses and Happy Meals (which seems a little perverse when you think about it) it is hard not to want to see it or prevent your kids from demanding they see it.  Happily the well establish benchmark of being kiddie friendly but fun for adults is maintained and the film does exactly what you know it will.  The plot is a little like Toy Story's quest but is fleshed out enough to be interesting and the themes of `letting go' and loss are actually quite well handled and will speak more to adults than kids.The slight problem with the film is that is does do just what you expect and the `animated film with adult wit and kiddie characters' stuff is hardly cutting edge anymore.  However this is a picky flaw as it is still very good fun.  It may not be the strongest of this genre, indeed some bits flag and the sentimental core, while a break from cruel humour or sarcasm, does then to slow things down a bit at times.The adult references are all good but not as frequent as I'd have liked  they seem to be separate from the main flow where I wanted them integral with all of it.  Clever homage's to Jaws (Bruce was the pet name of the rubber shark) and The Birds are distracting and make you feel good about yourself, and the banter is mostly witty if lacking a real sharpness at times.The voice cast are all good are quite an all star bunch.  Brooks does a workmanlike job in the lead  it must be said I didn't think he distinguished himself but then he did have to carry the moral weight of the film.  DeGeneres is much better and her dippy character is a delight at times.  The support cast is not as deep and fun as in other films  Janney and Dafoe are both fun in the tank (as are all the tank characters) it's just that none of them are really consistent.  My favourite characters were the one word seagulls  `mine?'Overall I have been unfair to this film in my review.  If I saw this in isolation I would be praising it to the roof, however using the others as a benchmark this does have a few weaknesses that show signs of wear and tear in the genre.  Not to cancel everything I have said, these weaknesses are all things that I realised after I had watched it  while I was watching it I was too busy laughing!  Biggest downside for me though  no comedy outtakes, booooooo!","
            10/10
            "
"departed07","11 May 2005","Pixar has made some of the enjoyable films in the past years: The Toy Story films, Monsters, Inc., and A Bug's Life to name a few. What makes these films interesting is the designs of the films as if they look identical to real life; now the creators have made underwater more realistic than ever in ""Finding Nemo"" where the waves of the water seem to have life of its own.""Finding Nemo"" is a story of a clown fish name Marlin (Albert Brooks) who takes on the responsibility of his young son Nemo after the mother and the babies were killed off screen. Now as a single parent, Marlin worries about everything that his young son does, even when he goes off to school for the first day.There is a universal moment in about every Pixar movie where there is always a human nature to relate towards the animated films; with Marlin's parental worries as a single father, most of the dads in the audiences can relate to him, especially when Nemo is kidnapped by a sea diver after getting near a boat.Marlin goes through the sea of Australia where he meets with a blue coral fish name Dory (Ellen DeGeneres) who has STM (Short Term Memory) where she can remember things and than forget until the final moment. They go on adventures from escaping sharks, getting sting by jellyfish, swimming with turtles and going inside a whale's mouth.As for Nemo, he's inside a fish tank in a dentist office where he meets with characters that have been capture by the dentist; the leader of the pack is Gil (Willem Defoe of Spider-Man) who has been trying to free a bunch of sea-animals and with Nemo, they have a chance.""Finding Nemo"" is funny and touching where like any other film, where audiences get to learn a lesson about letting go of their young ones as they go out into the world, but also have a good time.","
            10/10
            "
"Horst_In_Translation","1 December 2015","""Finding Nemo"" is an American animated movie from 12 years ago and certainly one of the most known animated films in history, not only because it is an Oscar winner, but because it solidified Pixar's and Disney's collaborative efforts that went on till this date. I personally see a couple parallels to the classic ""Little Mermaid"" from almost 15 years earlier. Of course, the film takes place almost entirely under the sea, but it is also about a difficult father-child relationship and about one part of that relationship in particular, namely finding the right approach to life and letting go, i.e. find a way that will actually help him bond with his offspring again. A great film for fathers. There is not that much memorable music in here, but also lots of heart, even if a crucial love story is missing. I'm not sure if I would call Marlin/Dory one and if I do, then it's still not the core plot of the film.Andrew Stanton and Lee Unkrich are obviously known to everybody with an interest in animated films from the last years. Same probably goes for Bob Peterson, who is a voice actor in here as well. Still, there are also ""real"" actors lending their voices to characters in this one, such as Albert Brooks, Willem Dafoe, Allison Janney or Geoffrey Rush, a personal favorite of mine. He fits nicely in here with the Australian background. Nothing to say about the animation in this 100-minute movie. It's really good. The characters are all interesting and almost all of them fun too. Even the scary sharks bring some comedy when they try to work on their image problem early on. The only really scary creatures in here were the jellyfish. Oh wait, that's not correct. The fishermen were 10 times scarier and also with the final breaking free scene probably the main antagonists.I personally would say I enjoyed this film, but I also think one watch is enough. The story is fine, but it does not work on an emotional level for me as it aspires. With the exception of the truly sad prologue and Dory's ""I don't wanna forget."" maybe. The comedy is pretty good from start to fi(ni)sh with all its funny scenes and dialogs, especially Dory's. She is a crucial addition and brings great comic relief during the entire movie. Not too long anymore until we get the sequel to this one. Hopefully they'll come up with something good again, but I am positive they will. It is certainly a challenge to build something around Dory's amnesia, but it looks like they took the possibly easy way out with her gone missing this time, so the story will probably focus more on the two clownfish. Until then, ""Finding Nemo"" is worth checking out in case of the unlikely scenario that you really haven't seen it yet.","
            10/10
            "
