"","Brand_Description","Price","Review_Count","Rating"
"17"," Premium Plastic Clips, 100 Pcs with Box, Sewing Notions for Sewing Quilting Supplies Crafting Tools, Assorted Colors for Craft  4.8 out of 5 stars 5,713  7K+ bought in past month$6.69$6.69Delivery Wed, Feb 7 to Philippines ","6.","5,713","4.8 out of 5 stars"
"18"," Safety Pins Assorted, 340-Pack 5 Different Sizes Large Safety Pins Heavy Duty Safety Pin, Safety Pins for Clothes Pins, Small Safety Pins for Sewing, Jewelry Making, Sewing and Crafts Supplies  4.5 out of 5 stars 4,834  6K+ bought in past month$4.79$4.79 List: $8.99$8.99Delivery Wed, Feb 7 to Philippines ","4.","4,834","4.5 out of 5 stars"
"19"," 600PCS Sewing Pins Straight Pin for Fabric, Pearlized Ball Head Quilting Pins Long 1.5inch, Multicolor Corsage Stick Pins for Dressmaker, Jewelry DIY Decoration, Craft and Sewing Project  4.5 out of 5 stars 2,722  7K+ bought in past month$4.99$4.99 List: $8.98$8.98Delivery Wed, Feb 7 to Philippines ","4.","2,722","4.5 out of 5 stars"
"20"," 12 Sets Button Pins for Loose Jeans, No Sew and No Tools Instant Replacement Snap Tack Pant Button, Ceryvop Reusable and Adjustable Metal Pants Button Tightener  4.5 out of 5 stars 3,589  6K+ bought in past month$6.59$6.59 List: $8.99$8.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","6.","3,589","4.5 out of 5 stars"
"21"," HTVRONT Iron on Patches for Clothes, 20PCS Denim Patches for Jeans Kit 3"" by 4-1/4"", 4 Shades of Iron on Patches for Jeans, Jean Patches for Inside Jeans & Clothing Repair  4.3 out of 5 stars 18,483  6K+ bought in past monthLimited time deal   $5.03$5.03 ($0.25$0.25/Count) Typical: $6.29$6.29Delivery Wed, Feb 7 to Philippines Price may vary by color+  ","5.","18,483","4.3 out of 5 stars"
"22"," anezus Self Healing Sewing Mat, 12inch x 18inch Rotary Cutting Mat Double Sided 5-Ply Craft Cutting Board for Sewing Crafts Hobby Fabric Precision Scrapbooking Project  Options:2 sizes4.7 out of 5 stars 10,760  7K+ bought in past month$8.99$8.99 List: $15.98$15.98Delivery Wed, Feb 7 to Philippines ","8.","10,760","4.7 out of 5 stars"
"23"," Dritz Adhesive Res Q Tape, 3/4-Inch x 5-Yards, Clear  4.4 out of 5 stars 476  4K+ bought in past month$6.89$6.89FREE delivery to Philippines on $49 of eligible items","6.","476","4.4 out of 5 stars"
"24"," GDMINLO Soft Tape Measuring for Body Fabric Sewing Tailor Cloth Knitting Craft Weight Loss Measurements Retractable Black Dual Sided Tape Measure 1 Pack  4.4 out of 5 stars 10,236  6K+ bought in past month$3.99$3.99Delivery Wed, Feb 7 to Philippines ","3.","10,236","4.4 out of 5 stars"
"25"," Mr Pen- Assorted Bulk Safety Pins, Small, Large for Clothes, 5.4 x 4.4 x 0.7 inch, 300 Pack  4.6 out of 5 stars 15,652  6K+ bought in past month$3.99$3.99 List: $5.99$5.99Delivery Wed, Feb 7 to Philippines ","3.","15,652","4.6 out of 5 stars"
"26"," ZEFFFKA Denim Iron-on Patches Repair Kit - 12pcs, 3""x4.25"", 100% Cotton, Strongest Glue, Assorted Blue Shades  4.3 out of 5 stars 25,880  5K+ bought in past month$8.99$8.99 ($0.75$0.75/Count) List: $9.99$9.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","8.","25,880","4.3 out of 5 stars"
"27"," Fiskars Assorted Safety Pins - Assorted 3-Size Safety Pin Set - Sewing Accessories and Supplies - 75-Piece  4.5 out of 5 stars 665  5K+ bought in past month$3.99$3.99 List: $7.49$7.49Delivery Wed, Feb 7 to Philippines ","3.","665","4.5 out of 5 stars"
"28"," 2PCS Seam Rippers, Sharp Sewing Seam Thread Remover Stitch Unpicker with Ergonomic Handles for Needle Work Patterns and Sewing Clothes  4.6 out of 5 stars 3,232  5K+ bought in past month$4.99$4.99Delivery Wed, Feb 7 to Philippines ","4.","3,232","4.6 out of 5 stars"
"29"," 250 Pack Safety Pins by Luxurecourt, 4 Assorted Sizes of Durable, Silver Small and Large Safety Pins Bulk, Rust-Resistant Nickel Plated Steel, Sharp Edge for Clothes, Sewing, Arts & Craft  4.5 out of 5 stars 2,882  4K+ bought in past month$5.99$5.99 List: $10.55$10.55FREE delivery Wed, Feb 7 to Philippines on $49 of eligible itemsSmall Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","5.","2,882","4.5 out of 5 stars"
"30"," Prym Large 20 PC Safety Pins, Zinc Count  4.5 out of 5 stars 1,468  5K+ bought in past month$1.00$1.00 ($0.05$0.05/Count) List: $5.99$5.99Delivery Wed, Feb 7 to Philippines ","1.","1,468","4.5 out of 5 stars"
"31"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  2 Colors Per Pack Fabric Chalk Markers (Blue, White) -Erase Tailor’s Chalk for Quilting and Sewing - Compatible with Most Fabrics - With Dosing Wheel Technology  4.4 out of 5 stars 141  200+ bought in past month$14.59$14.59 ($7.30$7.30/Count)FREE delivery Thu, Feb 8 to Philippines on $49 of eligible items","14.","141","4.4 out of 5 stars"
"32"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  HANPATQUI 60 x 60 inch Quilt Batting Throw Size, Natural Cotton Quilting Batting for Quilts  SolidOptions:7 sizes4.5 out of 5 stars 146  $16.99$16.99FREE delivery Thu, Feb 8 to Philippines on $49 of eligible items","16.","Solid","4.5 out of 5 stars"
"33"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Horn Assorted ABS Buttons 4 Holes for Craft, Resin Buttons for Clothes Sewing, Decor 100pcs, Sewing for Sweater Shirt, Pack of 100 with Box, 4 Sizes (Single Color)  $11.99$11.99FREE delivery Fri, Feb 9 to Philippines on $49 of eligible items","11.","",""
