"","Brand_Description","Price","Review_Count","Rating"
"13"," SEIKO SSK003 Watch for Men 5 Sports Collection - Stainless Steel Case and Bracelet, Blue Dial  4.6 out of 5 stars 183  200+ bought in past month$348.90$348.90FREE delivery Mon, Feb 12 to Philippines ","348.","183","4.6 out of 5 stars"
"14"," Men's AE1200WH-1A Black Analog Digital Multi-Function Watch  4.7 out of 5 stars 19,201  2K+ bought in past month$29.95$29.95 List: $42.95$42.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","29.","19,201","4.7 out of 5 stars"
"15"," Invicta Men's 22340 22341 22343 22344 22346 Pro Diver Analog Display Quartz Black Watch  4.7 out of 5 stars 5,726  500+ bought in past month$88.55$88.55FREE delivery Wed, Feb 7 to Philippines ","88.","5,726","4.7 out of 5 stars"
"16"," AX Armani Exchange Chronograph Watch for Men with Leather, Stainless Steel or Silicone Band  4.6 out of 5 stars 4,678  600+ bought in past month$92.99$92.99 List: $140.00$140.00FREE delivery Wed, Feb 7 to Philippines Only 2 left in stock - order soon.","92.","4,678","4.6 out of 5 stars"
"17"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OLEVS Watches Waterproof Leather Watch Quartz Watches with Day Date,Gifts  4.0 out of 5 stars 184  $38.88$38.8810% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","38.","184","4.0 out of 5 stars"
"18"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Men's Fashion Minimalist Wrist Watch Waterproof Watches Simple Ultra Thin Watches  3.9 out of 5 stars 92  $19.99$19.9940% coupon applied at checkoutSave 40%  with coupon (some sizes/colors) FREE delivery Thu, Feb 8 to Philippines on $49 of eligible items","19.","92","3.9 out of 5 stars"
"19"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LIGE Waterproof Mens Watches Luxury Business Mechanical Watch Automatic Gold White Leather Strap Wristwatch  4.0 out of 5 stars 409  $56.99$56.99$6.00 coupon applied at checkoutSave $6.00  with coupon FREE delivery Thu, Feb 8 to Philippines ","56.","409","4.0 out of 5 stars"
"20"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Lucky Brand Mens Watches Perforated Silicon Band Stainless Steel Japan Movement Sport Men's Wrist Watches Decorative Sub Dials Bracelet Gift Box Set  3.9 out of 5 stars 9  $37.99$37.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","37.","9","3.9 out of 5 stars"
"21"," Men's Marine Star 'Series A' Chronograph Quartz Watch, Luminous Markers, Rotating Dial, 100M Water Resistant, 44mm  4.7 out of 5 stars 2,747  100+ bought in past month$360.53$360.53 List: $595.00$595.00FREE delivery Wed, Feb 7 to Philippines ","360.","2,747","4.7 out of 5 stars"
"22"," Casio Men's 'G-Shock' Quartz Resin Sport Watch  4.7 out of 5 stars 16,792  900+ bought in past month$51.85$51.85 List: $74.95$74.95FREE delivery Wed, Feb 7 to Philippines ","51.","16,792","4.7 out of 5 stars"
"23"," SEIKO SSK001 5 Sports Men's Watch Silver-Tone 42.5mm Stainless Steel, Black  4.5 out of 5 stars 133  100+ bought in past month$329.95$329.95 List: $356.26$356.26FREE delivery Thu, Feb 8 to Philippines ","329.","133","4.5 out of 5 stars"
"24"," Collection Unisex Adults Watch A168WA  4.7 out of 5 stars 28,547  2K+ bought in past month$23.90$23.90 List: $29.95$29.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","23.","28,547","4.7 out of 5 stars"
"25"," Gen 6 44mm Touchscreen Smart Watch for Men with Alexa Built-In, Fitness Tracker, Activity Tracker, Sleep Tracker, GPS, Speaker, Music Control, Smartphone Notifications  4.1 out of 5 stars 3,604  300+ bought in past month$219.00$219.00 List: $299.00$299.00FREE delivery Wed, Feb 7 to Philippines Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more ","219.","3,604","4.1 out of 5 stars"
"26"," Invicta Men's Pro Diver Collection Chronograph Watch  4.6 out of 5 stars 16,792  500+ bought in past month$79.90$79.90FREE delivery Wed, Feb 7 to Philippines ","79.","16,792","4.6 out of 5 stars"
"27"," Timex Ironman Classic 30 Full-Size 38mm Watch  4.5 out of 5 stars 17,201  1K+ bought in past month$40.20$40.20 List: $60.00$60.00FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","40.","17,201","4.5 out of 5 stars"
"28"," Casio GM-2100-1AJF G-Shock Men's Watch, Metal Cover, Black  4.6 out of 5 stars 831  300+ bought in past month$169.79$169.79FREE delivery Thu, Feb 8 to Philippines ","169.","831","4.6 out of 5 stars"
"29"," Casio Unisex F-108WH-1ACF Big Square Digital Display Quartz Black Watch  4.6 out of 5 stars 20,462  2K+ bought in past month$16.88$16.88 List: $22.95$22.95Delivery Wed, Feb 7 to Philippines ","16.","20,462","4.6 out of 5 stars"
"30"," Casio Men's G-Shock GW6900-1 Tough Solar Sport Watch  4.7 out of 5 stars 3,694  400+ bought in past month$89.66$89.66 List: $140.00$140.00FREE delivery Wed, Feb 7 to Philippines ","89.","3,694","4.7 out of 5 stars"
"31"," OLEVS Watch for Men Diamond Business Dress Analog Quartz Stainless Steel Waterproof Luminous Date Two Tone Luxury Casual Wrist Watch  4.4 out of 5 stars 851  900+ bought in past month$39.77$39.7710% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","39.","851","4.4 out of 5 stars"
"32"," Timex Unisex TW2R41100 Weekender 38mm Peanuts Charlie Brown Nylon Slip-Thru Strap Watch  4.8 out of 5 stars 1,492  200+ bought in past month$46.00$46.00 List: $60.00$60.00FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","46.","1,492","4.8 out of 5 stars"
"33"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  GOLDEN HOUR Fashion Business Mens Watches with Stainless Steel Waterproof Chronograph Quartz Watch for Men, Auto Date  4.5 out of 5 stars 11,774  100+ bought in past monthLimited time deal   $34.39$34.39 Typical: $43.99$43.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","34.","11,774","4.5 out of 5 stars"
"34"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OLEVS Men's Mechanical Watch Hollow Out Waterproof Automatic Stringing Watch for Men  4.2 out of 5 stars 78  $98.77$98.7710% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines ","98.","78","4.2 out of 5 stars"
"35"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OLEVS Mens Watch Stainless Steel Big Face Casual Dress Wrist Watch Quartz Analog Day Date Waterproof Luminous  4.0 out of 5 stars 82  $38.88$38.885% coupon applied at checkoutSave 5%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","38.","82","4.0 out of 5 stars"
"36"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OLEVS Mens Automatic Watches Skeleton Retro Rectangle Tonneau Business Dress Leather Wrist Watch Moon Phase Luminous Waterproof  4.7 out of 5 stars 7  $127.00$127.0010% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Thu, Feb 8 to Philippines ","127.","7","4.7 out of 5 stars"
"37"," Fossil Machine Men's Watch with Stainless Steel or Leather Band, Chronograph or Analog Watch Display  4.7 out of 5 stars 16,164  600+ bought in past month$112.58$112.58 List: $180.00$180.00FREE delivery Thu, Feb 8 to Philippines Only 1 left in stock - order soon.","112.","16,164","4.7 out of 5 stars"
"38"," SEIKO Essentials Watch for Men - Essentials - Water Resistant with Stainless Steel Rectangular Case and Leather Strap  4.7 out of 5 stars 605  300+ bought in past month$137.48$137.48 List: $146.25$146.25FREE delivery to Philippines","137.","605","4.7 out of 5 stars"
"39"," 10 Year Battery  4.6 out of 5 stars 13,200  1K+ bought in past month$21.92$21.92 List: $29.95$29.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","21.","13,200","4.6 out of 5 stars"
"40"," SEIKO 5 Automatic Black Dial Men's Watch SNKP21J1  4.6 out of 5 stars 214  200+ bought in past month$155.90$155.90FREE delivery Wed, Feb 7 to Philippines ","155.","214","4.6 out of 5 stars"
"41"," SAMSUNG Galaxy Watch 6 44mm Aluminum Bluetooth Smartwatch | Latin American Version | Sapphire Crystal | IP68 -  4.8 out of 5 stars 10  100+ bought in past month$254.99$254.99FREE delivery Wed, Feb 7 to Philippines Only 11 left in stock - order soon.","254.","10","4.8 out of 5 stars"
"42"," SUUNTO Core Classic Outdoor Watch for Men  4.3 out of 5 stars 14,641  200+ bought in past month$199.00$199.00 List: $219.00$219.00FREE delivery Wed, Feb 7 to Philippines ","199.","14,641","4.3 out of 5 stars"
"43"," Invicta Men's Pro Diver Stainless Steel Quartz Watch  4.7 out of 5 stars 9,962  400+ bought in past month$63.36$63.36 Typical: $78.40$78.40FREE delivery Wed, Feb 7 to Philippines ","63.","9,962","4.7 out of 5 stars"
"44"," SEIKO SRPB77 Watch for Men - Presage Collection - Stainless Steel Case and Bracelet, White Dial  4.5 out of 5 stars 133  100+ bought in past month$325.00$325.00 List: $450.00$450.00FREE delivery Thu, Feb 8 to Philippines Only 1 left in stock - order soon.","325.","133","4.5 out of 5 stars"
"45"," Casio Men's Vintage CA-53W-1CR Calculator Watch  4.7 out of 5 stars 21,088  1K+ bought in past month$21.92$21.92 List: $29.95$29.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","21.","21,088","4.7 out of 5 stars"
"46"," Timex Men's Easy Reader Watch  4.5 out of 5 stars 47,828  1K+ bought in past month$32.90$32.90 List: $50.00$50.00FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","32.","47,828","4.5 out of 5 stars"
"47"," Invicta Men's 1270 Specialty Chronograph Gold Dial 18k Gold Ion-Plated Stainless Steel Watch  4.6 out of 5 stars 3,481  500+ bought in past month$55.43$55.43 Typical: $79.99$79.99FREE delivery to Philippines","55.","3,481","4.6 out of 5 stars"
"48"," Bulova Men's Archive Series Lunar Pilot 6-Hand Chronograph High Performance Quartz Stainless Steel, Sapphire Crystal Style: 96B258  4.7 out of 5 stars 742  50+ bought in past monthClick to see priceFREE delivery Wed, Feb 7 to Philippines ","","742","4.7 out of 5 stars"
"49"," SEIKO Men's SSC813 Prospex Solar Chronograph Watch  4.4 out of 5 stars 302  50+ bought in past month$506.25$506.25 List: $675.00$675.00FREE delivery Thu, Feb 8 to Philippines ","506.","302","4.4 out of 5 stars"
"50"," Men's Marine Star 'Series C' Chronograph Quartz Watch, Luminous Markers, Rotating Dial, 200M Water Resistant, 45mm  4.6 out of 5 stars 1,188  100+ bought in past month$318.42$318.42 List: $625.00$625.00FREE delivery Wed, Feb 7 to Philippines ","318.","1,188","4.6 out of 5 stars"
"51"," G-Shock GA-700UC  4.6 out of 5 stars 9,162  400+ bought in past month","","9,162","4.6 out of 5 stars"
"52"," Men's Classic Surveyor 2-Hand Day/Date Quartz Watch, Luminous Hands, 39mm  4.6 out of 5 stars 1,373  100+ bought in past month$262.00$262.00 List: $350.00$350.00FREE delivery Wed, Feb 7 to Philippines ","262.","1,373","4.6 out of 5 stars"
"53"," GUESS 45MM Stainless Steel Watch  4.6 out of 5 stars 2,228  300+ bought in past monthLimited time deal   $104.13$104.13 Typical: $122.50$122.50FREE delivery Wed, Feb 7 to Philippines ","104.","2,228","4.6 out of 5 stars"
"54"," Seiko Prospex Alpinist Limited Model SBDC091 Made in Japan  4.5 out of 5 stars 229  $691.00$691.00FREE delivery Thu, Feb 8 to Philippines Only 5 left in stock - order soon.","691.","229","4.5 out of 5 stars"
"55"," Casio G-Shock GW-5000U-1JF [20 ATM Water Resistant Solar Radio Wave GW-5000 Series] Shipped from Japan  4.7 out of 5 stars 418  100+ bought in past month$260.00$260.00 List: $300.99$300.99FREE delivery Thu, Feb 8 to Philippines ","260.","418","4.7 out of 5 stars"
"56"," G-SHOCK CASIO Carbon Core Guard Ga-2100-1ajf Mens Japan Import  4.6 out of 5 stars 1,070  300+ bought in past month$91.50$91.50 List: $117.99$117.99FREE delivery Wed, Feb 7 to Philippines ","91.","1,070","4.6 out of 5 stars"
"57"," Casio Men's W800H-1AV Classic Sport Watch with Black Band  4.6 out of 5 stars 17,774  1K+ bought in past month$21.92$21.92 List: $29.95$29.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items","21.","17,774","4.6 out of 5 stars"
"58"," CASIO Men's GW-9400-1CR Master of G Stainless Steel Solar Watch  4.8 out of 5 stars 3,880  100+ bought in past month$206.99$206.99FREE delivery Thu, Feb 8 to Philippines ","206.","3,880","4.8 out of 5 stars"
"59"," Amazon Essentials Men's Easy to Read Strap Watch  4.4 out of 5 stars 4,365  1K+ bought in past month$19.00$19.00FREE delivery Wed, Feb 7 to Philippines on $49 of eligible itemsAmazon brand","19.","4,365","4.4 out of 5 stars"
"60"," CASIO Men's FT-500WC-5BVCF Forester Sport Watch, Brown  4.5 out of 5 stars 6,587  1K+ bought in past month$21.92$21.92 List: $35.95$35.95Delivery Wed, Feb 7 to Philippines ","21.","6,587","4.5 out of 5 stars"
