"Category","Brand_Description","Price","Review_Count","Rating"
"Print Making Supplies"," Monoprinting Print Plate - 8” X 10” Gel Plate - Printmaking Supplies - Reusable Gel Printing Plate for Press Art for Card Making, Scrapbooking, Journaling, Arts and Crafts, Home Decor  Gel4.8 out of 5 stars 8,336  1K+ bought in past month$25.99$25.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible itemsSmall Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more More Buying Choices$22.49(3 new offers)",25,"Gel","4.8 out of 5 stars"
"Print Making Supplies"," Heat Press Mat Easypress for Cricut Easypress 2/Cricut Easypress 12"" x 12"" Cricket Craft Vinyl Ironing Insulation Transfer Heating Mats Cutting mats  4.8 out of 5 stars 4,609  1K+ bought in past month$7.99$7.99 List: $12.99$12.99Delivery Wed, Feb 7 to Philippines ",7,"4,609","4.8 out of 5 stars"
"Print Making Supplies"," CalogyMini Heat Press, Heat Transfer Machine, Constant Temp Control, Insulated Safety Base, Fits for Crafts, T-Shirt, Hat, Cap, Pillows (White Pink)  4.5 out of 5 stars 745  1K+ bought in past month$21.99$21.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",21,"745","4.5 out of 5 stars"
"Print Making Supplies"," HTVRONTAuto Tumbler Heat Press Machine - Mug Heat Press Heat Up Fast & Even, Professional Tumbler Press High-Security for 10-30oz Sublimation Tumblers, Cups, Glasses and Mugs, White  4.2 out of 5 stars 92  900+ bought in past month$199.99$199.99 List: $239.99$239.99$20.00 coupon applied at checkoutSave $20.00  with coupon FREE delivery Fri, Feb 9 to Philippines More Buying Choices$181.43(5 used & new offers)",199,"92","4.2 out of 5 stars"
"Print Making Supplies"," NGOODIEZSublimation Coating Spray for All Fabric, Including 100% Cotton, Polyester, T-shirts, Canva Coating Liquid- Quick Dry Formula, High Gloss Finished, 1 Step Process, Super Adhesion, 100ml  4.0 out of 5 stars 4,128  500+ bought in past month$18.99$18.99 ($5.62$5.62/fl oz)5% coupon applied at checkoutSave 5%  with coupon FREE delivery Wed, Feb 7 to Philippines on $49 of eligible itemsSmall Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more More Buying Choices$12.99(2 used & new offers)",18,"4,128","4.0 out of 5 stars"
"Print Making Supplies"," CricutEasyPress Mat (12"" x 12""), Protective Resistant Mat for Heat Press Machines, HTV and Iron On Projects, Heat Press Mat, Compatible with EasyPress 2 Machine, Gray  Options:3 sizes4.8 out of 5 stars 29,091  1K+ bought in past monthLimited time deal   $18.60$18.60 List: $24.99$24.99Delivery Wed, Feb 7 to Philippines More Buying Choices$15.00(17 new offers)",18,"29,091","4.8 out of 5 stars"
"Print Making Supplies"," +1 color/patternHTVRONTSublimation Vinyl for Dark/Light Fabric - 12"" X 20FT Sublimation HTV Matte - Sublimation Blanks for Sublimation Shirts/Bag/Hat/Pillow  4.4 out of 5 stars 447  1K+ bought in past month$29.99$29.9915% coupon applied at checkoutSave 15%  with coupon FREE delivery Wed, Feb 7 to Philippines on $49 of eligible itemsAlso available in Glossy",29,"447","4.4 out of 5 stars"
"Print Making Supplies"," 10 Pack Sublimation Tumblers Bulk Straight Skinny Tumbler Blanks 20oz for Heat Transfer, Individual Gift Boxed, Double Wall Insulated Tumbler with Shrink Wrap Films & Heat Tape & Straws  Vinyl4.7 out of 5 stars 794  1K+ bought in past month$42.99$42.99 ($4.30$4.30/Count)Delivery Wed, Feb 7 to Philippines More Buying Choices$41.37(2 used & new offers)",42,"Vinyl","4.7 out of 5 stars"
"Print Making Supplies"," Fancierstudio Heat press Digital Heat Press 15 x 15 Sublimation Heat Press Rhinestone Heat Press T-Shirt Heat Press 15x15 B/BLK  4.7 out of 5 stars 9,031  1K+ bought in past month$189.99$189.99Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ",189,"9,031","4.7 out of 5 stars"
"Print Making Supplies"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  MarabuFabric Screen Printing Ink - Create Unique Designs & Transform Your Fabrics with Water Based Screen & Block Printing Ink - Large 100ml Tubes  4.0 out of 5 stars 112  100+ bought in past month$17.99$17.99 List: $19.99$19.996% off promotion availableFREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",17,"112","4.0 out of 5 stars"
"Print Making Supplies"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Barydat 6 Pcs 3 Sizes Rubber Screen Printing Squeegee Wooden Ink Scraper Scraper 75 Durometer Silk Stencil Screen Printing Squeegee for Printmaking Water Fabric Supplies, 5.9 Inch 9.5 Inch 13.8 Inch  2.5 out of 5 stars 3  $22.99$22.99 List: $25.99$25.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",22,"3","2.5 out of 5 stars"
"Print Making Supplies"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Caydo 2 Piece 10 x 14 Inch Aluminum Silk Screen Printing Frames with 110 White Mesh for Screen Printing  4.4 out of 5 stars 176  $35.99$35.99 ($18.00$18.00/count)FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",35,"176","4.4 out of 5 stars"
"Print Making Supplies"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Brayer Roller & Mat Remover Tool Tweezers Set for Cricut/Silhouette/Brother and T-Shirts Heat Transfer Projects Printing Making  4.7 out of 5 stars 165  200+ bought in past month$11.99$11.99FREE delivery to Philippines on $49 of eligible items",11,"165","4.7 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OUPINKE Mens Watches Fashion Sport WristWatches Multifunction Chronograph Analog Quartz Luminous Waterproof Calendar Stainless Steel Bracelet  4.8 out of 5 stars 10  $39.77$39.77 List: $69.00$69.0010% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",39,"10","4.8 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Diella Luxury Dress Watches for Men with Japanese Quartz Movement, Men's Classic Wrist Watches with Black Leather Band, Dark Jade, Gold and Steel Case, Date Luminous and Waterproof (Model: AD5002G)  4.5 out of 5 stars 61  Limited time deal   $69.30$69.30 List: $99.00$99.00FREE delivery Wed, Feb 7 to Philippines ",69,"61","4.5 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OUPINKE Watches for Men Luxury Automatic Mechanical Tungsten Steel Casual Luminous Wristwatch Waterproof Sapphire Calendar Watches  4.3 out of 5 stars 108  $368.00$368.0010% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines ",368,"108","4.3 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OLEVS Mens Watches Fashion Casual Analog Quartz Watch Waterproof Dress Wrist Watches with Stainless Steel Band Day Window for Men  4.1 out of 5 stars 60  $39.88$39.8810% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",39,"60","4.1 out of 5 stars"
"Men's Watches"," Casio G-Shock GWM5610-1 Men's Solar Black Resin Sport Watch  4.8 out of 5 stars 7,315  1K+ bought in past month$91.99$91.99 List: $150.00$150.00FREE delivery Wed, Feb 7 to Philippines ",91,"7,315","4.8 out of 5 stars"
"Men's Watches"," Amazfit Bip 5 Smart Watch with Ultra Large Screen, Bluetooth Calling, Alexa Built-in, GPS Tracking, 10-Day Long Battery Life, Health Fitness Tracker with Heart Rate, Blood Oxygen Monitoring- Black  4.2 out of 5 stars 5,098  1K+ bought in past month$84.99$84.99 List: $89.99$89.99FREE delivery Wed, Feb 7 to Philippines Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more ",84,"5,098","4.2 out of 5 stars"
"Men's Watches"," Men's Classic Dive Style Watch, 200 M WR, Screw Down Crown and Case Back, MDV106 Series  4.7 out of 5 stars 28,008  2K+ bought in past month$49.55$49.55 List: $74.95$74.95FREE delivery Wed, Feb 7 to Philippines ",49,"28,008","4.7 out of 5 stars"
"Men's Watches"," Casio Men's A158WA-1DF Stainless Steel Digital Watch  4.6 out of 5 stars 38,251  6K+ bought in past month$20.31$20.31 List: $22.95$22.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",20,"38,251","4.6 out of 5 stars"
"Men's Watches"," Casio F91W-1 Classic Resin Strap Digital Sport Watch  4.6 out of 5 stars 49,492  7K+ bought in past month$16.88$16.88 List: $22.95$22.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",16,"49,492","4.6 out of 5 stars"
"Men's Watches"," Casio Men's G-Shock Quartz Watch with Resin Strap, Black, 20 (Model: DW5600E-1V)  4.7 out of 5 stars 20,925  1K+ bought in past month$49.10$49.10 List: $74.95$74.95Delivery Wed, Feb 7 to Philippines ",49,"20,925","4.7 out of 5 stars"
"Men's Watches"," Invicta Men's Pro Diver Collection Coin-Edge Automatic Watch  4.5 out of 5 stars 39,938  1K+ bought in past month$64.91$64.91FREE delivery Wed, Feb 7 to Philippines ",64,"39,938","4.5 out of 5 stars"
"Men's Watches"," Timex Men's Expedition Scout 40mm Watch  4.4 out of 5 stars 21,668  2K+ bought in past monthLimited time deal   $33.32$33.32 List: $62.00$62.00FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",33,"21,668","4.4 out of 5 stars"
"Men's Watches"," SEIKO SSK003 Watch for Men 5 Sports Collection - Stainless Steel Case and Bracelet, Blue Dial  4.6 out of 5 stars 183  200+ bought in past month$348.90$348.90FREE delivery Mon, Feb 12 to Philippines ",348,"183","4.6 out of 5 stars"
"Men's Watches"," Men's AE1200WH-1A Black Analog Digital Multi-Function Watch  4.7 out of 5 stars 19,201  2K+ bought in past month$29.95$29.95 List: $42.95$42.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",29,"19,201","4.7 out of 5 stars"
"Men's Watches"," Invicta Men's 22340 22341 22343 22344 22346 Pro Diver Analog Display Quartz Black Watch  4.7 out of 5 stars 5,726  500+ bought in past month$88.55$88.55FREE delivery Wed, Feb 7 to Philippines ",88,"5,726","4.7 out of 5 stars"
"Men's Watches"," AX Armani Exchange Chronograph Watch for Men with Leather, Stainless Steel or Silicone Band  4.6 out of 5 stars 4,678  600+ bought in past month$92.99$92.99 List: $140.00$140.00FREE delivery Wed, Feb 7 to Philippines Only 2 left in stock - order soon.",92,"4,678","4.6 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OLEVS Watches Waterproof Leather Watch Quartz Watches with Day Date,Gifts  4.0 out of 5 stars 184  $38.88$38.8810% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",38,"184","4.0 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Men's Fashion Minimalist Wrist Watch Waterproof Watches Simple Ultra Thin Watches  3.9 out of 5 stars 92  $19.99$19.9940% coupon applied at checkoutSave 40%  with coupon (some sizes/colors) FREE delivery Thu, Feb 8 to Philippines on $49 of eligible items",19,"92","3.9 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LIGE Waterproof Mens Watches Luxury Business Mechanical Watch Automatic Gold White Leather Strap Wristwatch  4.0 out of 5 stars 409  $56.99$56.99$6.00 coupon applied at checkoutSave $6.00  with coupon FREE delivery Thu, Feb 8 to Philippines ",56,"409","4.0 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Lucky Brand Mens Watches Perforated Silicon Band Stainless Steel Japan Movement Sport Men's Wrist Watches Decorative Sub Dials Bracelet Gift Box Set  3.9 out of 5 stars 9  $37.99$37.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",37,"9","3.9 out of 5 stars"
"Men's Watches"," Men's Marine Star 'Series A' Chronograph Quartz Watch, Luminous Markers, Rotating Dial, 100M Water Resistant, 44mm  4.7 out of 5 stars 2,747  100+ bought in past month$360.53$360.53 List: $595.00$595.00FREE delivery Wed, Feb 7 to Philippines ",360,"2,747","4.7 out of 5 stars"
"Men's Watches"," Casio Men's 'G-Shock' Quartz Resin Sport Watch  4.7 out of 5 stars 16,792  900+ bought in past month$51.85$51.85 List: $74.95$74.95FREE delivery Wed, Feb 7 to Philippines ",51,"16,792","4.7 out of 5 stars"
"Men's Watches"," SEIKO SSK001 5 Sports Men's Watch Silver-Tone 42.5mm Stainless Steel, Black  4.5 out of 5 stars 133  100+ bought in past month$329.95$329.95 List: $356.26$356.26FREE delivery Thu, Feb 8 to Philippines ",329,"133","4.5 out of 5 stars"
"Men's Watches"," Collection Unisex Adults Watch A168WA  4.7 out of 5 stars 28,547  2K+ bought in past month$23.90$23.90 List: $29.95$29.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",23,"28,547","4.7 out of 5 stars"
"Men's Watches"," Gen 6 44mm Touchscreen Smart Watch for Men with Alexa Built-In, Fitness Tracker, Activity Tracker, Sleep Tracker, GPS, Speaker, Music Control, Smartphone Notifications  4.1 out of 5 stars 3,604  300+ bought in past month$219.00$219.00 List: $299.00$299.00FREE delivery Wed, Feb 7 to Philippines Alexa Built-in  Alexa Built-inAlexa Built-in devices let you talk directly to Alexa, allowing you to play music, control your smart home, get news, weather, and more using your voice. Learn more ",219,"3,604","4.1 out of 5 stars"
"Men's Watches"," Invicta Men's Pro Diver Collection Chronograph Watch  4.6 out of 5 stars 16,792  500+ bought in past month$79.90$79.90FREE delivery Wed, Feb 7 to Philippines ",79,"16,792","4.6 out of 5 stars"
"Men's Watches"," Timex Ironman Classic 30 Full-Size 38mm Watch  4.5 out of 5 stars 17,201  1K+ bought in past month$40.20$40.20 List: $60.00$60.00FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",40,"17,201","4.5 out of 5 stars"
"Men's Watches"," Casio GM-2100-1AJF G-Shock Men's Watch, Metal Cover, Black  4.6 out of 5 stars 831  300+ bought in past month$169.79$169.79FREE delivery Thu, Feb 8 to Philippines ",169,"831","4.6 out of 5 stars"
"Men's Watches"," Casio Unisex F-108WH-1ACF Big Square Digital Display Quartz Black Watch  4.6 out of 5 stars 20,462  2K+ bought in past month$16.88$16.88 List: $22.95$22.95Delivery Wed, Feb 7 to Philippines ",16,"20,462","4.6 out of 5 stars"
"Men's Watches"," Casio Men's G-Shock GW6900-1 Tough Solar Sport Watch  4.7 out of 5 stars 3,694  400+ bought in past month$89.66$89.66 List: $140.00$140.00FREE delivery Wed, Feb 7 to Philippines ",89,"3,694","4.7 out of 5 stars"
"Men's Watches"," OLEVS Watch for Men Diamond Business Dress Analog Quartz Stainless Steel Waterproof Luminous Date Two Tone Luxury Casual Wrist Watch  4.4 out of 5 stars 851  900+ bought in past month$39.77$39.7710% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",39,"851","4.4 out of 5 stars"
"Men's Watches"," Timex Unisex TW2R41100 Weekender 38mm Peanuts Charlie Brown Nylon Slip-Thru Strap Watch  4.8 out of 5 stars 1,492  200+ bought in past month$46.00$46.00 List: $60.00$60.00FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",46,"1,492","4.8 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  GOLDEN HOUR Fashion Business Mens Watches with Stainless Steel Waterproof Chronograph Quartz Watch for Men, Auto Date  4.5 out of 5 stars 11,774  100+ bought in past monthLimited time deal   $34.39$34.39 Typical: $43.99$43.99FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",34,"11,774","4.5 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OLEVS Men's Mechanical Watch Hollow Out Waterproof Automatic Stringing Watch for Men  4.2 out of 5 stars 78  $98.77$98.7710% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines ",98,"78","4.2 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OLEVS Mens Watch Stainless Steel Big Face Casual Dress Wrist Watch Quartz Analog Day Date Waterproof Luminous  4.0 out of 5 stars 82  $38.88$38.885% coupon applied at checkoutSave 5%  with coupon (some sizes/colors) FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",38,"82","4.0 out of 5 stars"
"Men's Watches"," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  OLEVS Mens Automatic Watches Skeleton Retro Rectangle Tonneau Business Dress Leather Wrist Watch Moon Phase Luminous Waterproof  4.7 out of 5 stars 7  $127.00$127.0010% coupon applied at checkoutSave 10%  with coupon (some sizes/colors) FREE delivery Thu, Feb 8 to Philippines ",127,"7","4.7 out of 5 stars"
"Men's Watches"," Fossil Machine Men's Watch with Stainless Steel or Leather Band, Chronograph or Analog Watch Display  4.7 out of 5 stars 16,164  600+ bought in past month$112.58$112.58 List: $180.00$180.00FREE delivery Thu, Feb 8 to Philippines Only 1 left in stock - order soon.",112,"16,164","4.7 out of 5 stars"
"Men's Watches"," SEIKO Essentials Watch for Men - Essentials - Water Resistant with Stainless Steel Rectangular Case and Leather Strap  4.7 out of 5 stars 605  300+ bought in past month$137.48$137.48 List: $146.25$146.25FREE delivery to Philippines",137,"605","4.7 out of 5 stars"
"Men's Watches"," 10 Year Battery  4.6 out of 5 stars 13,200  1K+ bought in past month$21.92$21.92 List: $29.95$29.95FREE delivery Wed, Feb 7 to Philippines on $49 of eligible items",21,"13,200","4.6 out of 5 stars"
"Men's Watches"," SEIKO 5 Automatic Black Dial Men's Watch SNKP21J1  4.6 out of 5 stars 214  200+ bought in past month$155.90$155.90FREE delivery Wed, Feb 7 to Philippines ",155,"214","4.6 out of 5 stars"
"Men's Watches"," SAMSUNG Galaxy Watch 6 44mm Aluminum Bluetooth Smartwatch | Latin American Version | Sapphire Crystal | IP68 -  4.8 out of 5 stars 10  100+ bought in past month$254.99$254.99FREE delivery Wed, Feb 7 to Philippines Only 11 left in stock - order soon.",254,"10","4.8 out of 5 stars"
"Men's Watches"," SUUNTO Core Classic Outdoor Watch for Men  4.3 out of 5 stars 14,641  200+ bought in past month$199.00$199.00 List: $219.00$219.00FREE delivery Wed, Feb 7 to Philippines ",199,"14,641","4.3 out of 5 stars"
"Men's Watches"," Invicta Men's Pro Diver Stainless Steel Quartz Watch  4.7 out of 5 stars 9,962  400+ bought in past month$63.36$63.36 Typical: $78.40$78.40FREE delivery Wed, Feb 7 to Philippines ",63,"9,962","4.7 out of 5 stars"
"Men's Watches"," SEIKO SRPB77 Watch for Men - Presage Collection - Stainless Steel Case and Bracelet, White Dial  4.5 out of 5 stars 133  100+ bought in past month$325.00$325.00 List: $450.00$450.00FREE delivery Thu, Feb 8 to Philippines Only 1 left in stock - order soon.",325,"133","4.5 out of 5 stars"
