"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Kamurai25","13 August 2020","A must watch, will watch again, and definitely recommend for everyone, all ages.The first 30 minutes or so of this movie are pure and perfect magic. They establish the world, Wall-E, the human race with next to no dialogue.Wall-E and Eve meeting is wonderfully trip of social anxiety in different personalities and a great metaphor for living together while being different.Once on the axiom, the entire movie shifts seemlessly, and it is one heavy metaphor after the next about America and the human race without it once being the focus of the story.If you ever needed a movie that ""does"" and not ""says"", this is your example, it's how world building should be done.While I think I could literally talk about this movie for hours, I don't want to spoil anything else by talking about it here other than this is a near perfect movie to me.Watch, enjoy, be well.","
            9/10
            "
"The_Fifth_Echo","30 July 2009","I highly recommend people to watch this film. It doesn't matter what your age is. This film is appropriate for everyone. It is a cute,enjoyable,fun movie. It is just great. Many people can relate to this film. Because WALL-E is kind of like an underdog, we all cheer for him. :) This movie shows us very important advice to never give up! The music in this movie was very sad. Overall I love this movie, it has so much going for it. You won''t be disappointed. So I had to give this movie a 10/10, I liked this movie more than other previous Animated movies like the Lion King. For kids, this movie is enjoyable and cute. For adults/teens it is much more than that! 10/10","
            9/10
            "
"raypdaley182","5 July 2008","Pixar have done it again. I'm going on the record here, this is THE best movie I've ever seen in my entire life. It's simple, beautiful, enchanting, it has a message & has memorable characters.Wall-e (Waste Allocation Load Lifter Earth-Class) is a robot. His job is to tidy up rubbish. A very noble cause & even more so when it's all the rubbish we humans left behind before blasting off into the stars to leave The Earth in hope that nature could regenerate itself. And this is Wall-e's (he pronounces it Wally) huge task.I assume centuries ago there were millions like him (you get to see 1 that has broken down that he scavenges parts from) & they all compacted the rubbish until they broke down, leaving only Wall-e left to continue the job on his own over a period of 700 years during which time he became self aware & developed a persona with only a cockroach for company.The film looks amazing, Wall-e is based the design of Johnny 5 from Short Circuit, he also has elements of E.T in his persona along with the robots Huey, Lewie & Dewey from Silent Running. If you were to take all the best parts of those movies & put them together then you'd start to get close to Wall-e.Wall-e is alone until a probe lands on Earth containing Eve (Extra-terrestrial Vegetation Evaluator) who is there to search for life. And what does she do as soon as she encounters a hint of life? She shoots at it. That was the cockroach. And again when she meets Wall-e who falls in love with her and helps her to achieve her mission when he finds a plant growing under the rubbish he clears.This means Wall-e has to protect Eve from the elements until her ship returns to take her back to the last remnants of Humanity. A society living in complete apathy, reliant on robots for everything and have atrophied to the point where they are even unable to walk or sit up without assistance.Eventually we find out that 700 years in space have caused this to occur & that the autopilot was given orders never to return to Earth as it was declared uninhabitable. Obviously Eve's return with the plant throws a spanner in the works and we spend a short time having Eve & Wall-e being declared rogue robots, being hunted down for destruction so the Autopilot can cover up that life has returned to Earth.The film does end with the ship returning the humans to Earth & Eve having to repair Wall-e after it seems he has been destroyed but her repair job is too good and he no longer is aware like before. We do have a happy ending as Wall-e regains his awareness and the Humans decide to help earth rebuild itself and get it green again.There is a strong message behind this film about pollution and the destruction of the ecosystem but its never rammed down your throat or made to seem preachy. It's done tactfully & thoughtfully and does make you leave the film thinking about the issues. M.Night Shamaylan tried to achieve this in ""The Happening"" & failed miserably. Perhaps he should take a leaf out of Pixar's book and not try so hard.A simple film with a very strong idea, an excellent & well thought out plot with a positive message and strong ending all put Pixar's message across very well. As Disney were involved, sadly there are moments of too much saccharine but the very strong film makes these bearable.I would recommend this to everyone!","
            10/10
            "
"whatever_123","2 October 2009","DO NOT listen to those who say this is a bad movie because there's hardly any dialog. Everything in this movie is so perfect, it doesn't NEED dialog!! The animation was so REAL. Everything was perfect!! The landscapes were beautiful, the technology was creative, smooth, and incredibly flawless, the robots were great! I thought it was interesting how real humans were used in small parts of the movie, and the humans in the future were animated, shown as really large, lazy people we may become in the future, if we're not careful. As soon as the movie started, I fell in love with Wall-e. He was possible the most adorable thing I have ever seen! His character was so deep, you could forget he's not human. Wall-e has the biggest heart of any of the characters I've seen. You have to be insane to not love Wall-e. I really enjoyed seeing the chemistry develop between EVE and Wall-e. They are so different, EVE being a fast, powerful, advanced robot, and Wall-e being a sweet, simple, rusty little trash-compacting robot, and they work together PERFECTLY!!! They are the cutest couple in Pixar history. The messages in the story were very well-presented. It showed what could happen to our planet if we trashed it and took it for granted and what could happen if we all get too lazy. The perfect combination of humor, CGI, heart, and lessons to be learned, this is truly a Pixar triumph.","
            10/10
            "
"ClaytonDavis","30 June 2008","Animation is a key element in the lives of children but somewhere around adolescence, a young person feels they're ""too mature"" or ""too cool"" to be watching ""cartoons."" Then a change occurs in adulthood, which the same young person misses something from their childhood and a film they watched while playing with Lego's brings them back to that. As of late, animated films have tried to be something their not, perhaps lost their spark. In the new millennium, I haven't really experienced the Bambi, The Lion King, or The Fox and the Hound of our time. Finding Nemo and The Incredibles raised the bar but still hadn't been the perfect dose of entertainment, writing, and emotion. WALL-E, has achieved where its predecessors failed.WALL-E is the most touching, real, emotionally moving film this year so far. The film is about a little robot named WALL-E, (Waste Allocation Load Lifter Earth-Class) who has become exceptionally lonely on the desolate planet of Earth, that has become a wasteland of filth, debris, and pollution. Life has ceased to exist on the once populated planet until a rocket lands and drops off a ""surprise,"" to say the least. Enters our heroin, which might be an understatement, EVE, a robot with an edge, that is searching for ""something"" that might be the key to life's existence. But alas, WALL-E falls in love with her charm, wit, and blaster gun and when circumstances force her to be picked up, WALL-E will travel across the galaxy to find his love.WALL-E makes a statement loud and clear about today's political factors, from pollution to exercise, love, life, it speaks of it all in volumes without any words; it uses images to baffle the viewer as we are thrust through the film. Writer and Director Andrew Stanton creates wonderful details as we are engulfed into WALL-E's world and within seconds of the film starting, fall in completely in love with the robot.The film doesn't pretend to be something it's not and Stanton isn't afraid to let the film be both for the mature and the innocence of our youth. With limited dialogue, Stanton takes a chance of losing his viewers but rest assured, there is never a dull moment and while the film does lose a little flavor from the start, resonance of childhood and contentment fill the viewer in images of awe and splendor.As the already declared by many, Animated Film frontrunner of the Academy Awards, the film studio Pixar may have a winner on its hands to make a strong push for Best Picture. Not since Beauty and the Beast has an animated film been nominated for Best Picture and we've had some potential candidates over the years. But with the induction of the Best Animated Feature category, voters feel there's no need to validate the films twice so to speak. WALL-E is technically beautiful which makes it a contender in the Sound and Editing categories, and Stanton is more than just the writer of the film as he directs the film with power and precise. I'd go so far as to say this is the best directed animated film I've ever seen. That is where Stanton's magic is, his direction, but writing is definitely a strong suit for the film as well. We'll have to wait for the upcoming awards season to see how it plays out.But go and catch WALL-E on the big screen, and enjoy the masterpiece for what it is and the wonderful short film at the beginning of the film which is a treat for all.***½/****","
            9/10
            "
"Tweekums","2 January 2011","Having enjoyed Pixar's 'Incredibles' and 'Toy Story' trilogy I was keen to see 'Wall-E' when it was on television. The reviews I'd heard suggested that I'd be in for a treat and they weren't wrong; Pixar may make films that are aimed at a younger audience but adults are unlikely to feel childish if they watch them; this is especially true of 'Wall-E'. Set in a distant future where the Earth has been abandoned by humanity because pollution and the build up of garbage has made the planet uninhabitable one small robot toils to tidy up the mess left behind; that robot is Wall-E. Throughout his days he crushes the rubbish into cubes then stacks them in towers that have come to dwarf the city's long abandoned skyscrapers. When he finds items he likes such as an old Rubik's Cube or a small weed he takes it back to his 'home' to store. His existence is changed one day when a spaceship arrives and drops off a shiny new robot who we later learn is called EVE; the two of them become friends and everything goes well for them until he shows her the plant, then she takes it, puts it inside her and shuts down. It appears that her mission was to search for plant life then wait to be retrieved. When this happens she is taken away on the space ship, not wanting to be without her Wall-E clings on and is taken back to the Axiom; the ship where what is left of humanity lives. The people aren't like people now though; they are all over-weight which is hardly surprising as they don't seem to get out of their hover chairs and are waited on by a variety of robots. Once here Wall-E and EVE's adventures are just beginning as they must avoid the security systems and deliver the plant to the scanner which the ships autopilot is determined to stop them doing as it had been informed that Earth would never be suitable for resettlement.As always with Pixar films the animation was just about flawless, I was surprised however that it was not 100% animated; the various adverts and messages recorded at the time of Earth's abandonment featured live action actors, this was an inspired move as it only served to emphasise how much humanity had changed when we saw the fat CGI people later on. The minimal use of dialogue was a brave idea that worked for me, one would have though that having no dialogue spoken by a main character in the opening twenty minutes and not a huge amount afterwards would lead to a boring film but it was in fact engrossing. The character designs were good; the beaten up look of Wall-E, which reminded me of 'Number Five' from 'Short Circuit' contrasted beautifully with the clean modern EVE. While there were a few nods to other films such as 2001: A Space Odyssey the viewer is unlikely to feel they are missing something if they don't get the reference; as Pixar don't feel it necessary to fill their films with lots of pop culture references I can see this and their other films being watched for decades to come in the way old Disney films can still entertain today's children.","
            10/10
            "
"theskulI42","20 July 2008","From Curious George to E.T. and right on down to the present day, cinema-goers have always had a strong affinity towards, for lack of a better term, ""curious little critters"", small animals, aliens or other beings who are simultaneously inquisitive and clueless about the ways of Earth, and are preferably also quite clumsy, and Wall-E, as a character and as a movie, delivers in spades. Taking a pratfall as effortlessly as Keaton, and doing a terrified double take better than the most racist of cinema servitude, the sentient being, whose job it is to pick up and compact trash on a desolate future Earth, is equally fascinated by the inner workings of lightbulbs, Twinkies, garbage can lids and iPods, but can't seem to cover his head, as countless manner of things continually seem to be crashing down upon it. This mundane existence is shattered by a mysterious craft that deploys a scanning probe, another sentient being, this time with an infectious giggle and an itchy trigger finger, named Eve.Pixar has an uncanny knack for turning familiarity into universiality. Case in point: the love story presented in ""WALL-E"" is a story that doesn't take a single turn that hasn't been preordained by 80 years of cinema history, but Pixar still manages to turn it on its ear: The love story here is between robots, and our protagonists, despite only having model numbers and call signs for names, and literally knowing four words between them (two, discounting their own names), are more human than any couple seen on the silver screen in some time, and when life and responsibility intervene, there's a sense of heartbreak and loss seldom possible with flesh and blood.The second act takes us as far in the other direction as possible, as Eve is picked back up by her ship, and Wall-E hitches a ride on the side, desperate for his only love. The scenes of travel here function as both a sort of montage, a transition between acts, but also serve to provide the audience with what may be the most awe-inspiring presentation of space seen since ""2001"", which also gets an immediately recognizable character nod that could work as a gap to that film when they're older. What he finds when the ship arrives is a completely autonomous society, co-existing between morbidly obese humans on floating chairs, no longer required to do anything of effort, even communicating on viewscreens directly across from each other, coexisting with all manner of robotic denizens, who have far more of the human experience than their living counterparts, including frustrated custodians, tough-as-nails security officers and even a mental health ward.I won't take the time to explain the particulars of the humans' situation, or any more of the plot, because part of the fun is exploring for yourself. Pixar has never been one to skimp on the details, and every inch of the screen is filled with glorious colors, wondrous intricacies and charming touches that just add to the amazing glory unfolding before you. The fact that you know what's going to happen is less of a detriment and more of a comfort, much like watching a old video of your favorite sports' team's greatest triumph: You may know all the ups and down, but on screen, it's always happening for the first time, and damnit, it feels that way too, a testament to the skill, expertise and above all HEART, something Pixar has always seemed to possess just a little bit more of than everybody else, like they discovered some hidden secret on how to entertain everybody, to transcend labels like ""children's movie"", ""animated movie"" or even ""family movie"", to where all you have to say is ""Pixar"", and the inference is there: You're going to love it, and Pixar has stepped up to say, ""Don't give up on 2008 just yet."" As for ""WALL-E"", the message is clear: All you need is love (All together now!). All you need is love (Everybody!). All you need is love, love...Love is all you need.{Grade: 9.5/10 (A) / #1 (of 53) of 2008 / #187 of all time}","
            10/10
            "
"lastliberal","25 February 2009","I am not a fan of animated movies in any form. The only one I recall that was worth watch was Fritz the Cat back in the 70s. That one was X-Rated (NC-17 today).Of course, I had to watch this, not because it won Best Animated Feature Film at the Academy Awards, but because there was a push to get it nominated for Best Picture period. It did win a couple of Best Picture awards from film critics, but the Academy wasn't buying it.I feel that it did meet the requirements for consideration as Best Picture, as it presented a story that was interesting and credible, and just had animated robots instead of humans. Of course, nominating it for Best Picture means someone would be left out, and I can't see that as there were other films that had a better claim to be included.It was charming, tender, funny, and exciting. A film that is worth watching over and over.","
            10/10
            "
"ivanmessimilos","6 January 2022","A wonderful cartoon for children, but also for adults. Still relevant in its subject matter and the message it sends us. There is no dialogue for the first half hour or so, but that's why those scenes are strong, emotional, and maybe even more powerful than those containing words (e.g. When Wall E initially finds certain things among the trash). I found links to the 2001 Odyssey that were deliberately placed like the first half hour of a movie, the main robot in a spaceship, or music near the end. Not only is this a great cartoon for kids but it is also a great SF that adults can enjoy as well. It didn't lose anything when I watched it again, in fact it may be even better. I would dare say one of the best cartoons of the last 20 years, if not all time.","
            9/10
            "
"mycannonball","19 November 2021","A futuristic animated film with gorgeous visuals and important things to say - earth 700 years in the future full of trash? It's not exactly a far-fetched prediction! WALL-E was a magical character and a magical story. Probably my fave animated movie.","
            8/10
            "
"Laakbaar","19 February 2014","There's not much I can add after almost a thousand reviews. I agree with the collective wisdom of IMDb users. This is a wonderfully written and beautifully animated science-fiction movie with lovable, human-like robot characters.Yes, I suppose children might enjoy this film, but it is also aimed directly at adults. None of the characters in this movie are children (of the human, animal or robot kind). As charming and cartoonish as it is, ""Wall-E"" is a rather intelligent, harsh indictment of American consumer culture. One of the themes is environmentalism; another is humanity's growing dependence on its machines.A huge amount of work must have gone into inventing and creating this film's version of the future Earth, and also the world of ""Axiom"". The way the creators were able to anthropomorphise the robots was remarkably creative. The movie reflects our own ambivalence: we love these little bots, but at the same time we see the danger. Can we ever live without them?Six years after release, this film still delights and amazes. It's difficult to think of a single thing to criticize about it.I can't say that I am a die-hard Pixar fan per se. Many of their films (eg Cars) don't work for me at all. This is one of the best of the bunch, right up there beside ""Finding Nemo"". Kudos to Andrew Stanton.After seeing it three times now, I'm tempted to give it 10, but 9 will do for now.","
            7/10
            "
"StevePulaski","12 October 2013","WALL-E is perhaps one of the most subversive films by Pixar Animation Studios and one of the most significant animated films in many years. The film is comprised of little dialog, breathtakingly clear, but often dirty visuals that contradict the bubbly, colorful palette of colors we're used to seeing in contemporary animation, and can be seen as a showcase for several motifs and deep themes.We open in the year 2805, where Earth has become a haven for mass amounts of garbage thanks to extreme levels of consumerism perpetuated by a massive corporation called ""Buy N Large."" Earth's population was evacuated in the early 2100's to reside in certain ships in space. Left behind were ""WALL-E"" robots, small trash-compactors that would make identical cubic blocks out of the trash left behind by humans before stacking them into gigantic skyscrapers. Eventually, all the bots died off, except for one, who is still mindlessly operating and compacting trash day-after-day.WALL-E lives in a storage truck, kept cozy by pieces from human civilization that bring him comfort. One day, he is brought more comfort by discovering EVE, a much-more advanced robot who is deployed from the Buy N Large spaceship to track down vegetation on Earth. WALL-E meets and is attracted by EVE, and the two form a bond, communicating through ambiguous sounds and the occasional disjointed line of robotic dialog.There is hardly any dialog during the first act of the film; the second act is populated by a bit more than the first and the third is largely devoted to speaking because our focus has shifted from the dilapidated Earth to the more populous Axiom spaceship. Much of the film is largely focused on showcasing the variety of sounds WALL-E and EVE make, leaving the viewer to utilize those little bits of sound as the main point of reference when it comes to trying to define the emotion and the feelings the characters are currently going through. The sound design was largely conducted by Ben Burtt, the so-called ""godfather of sound"" for the film industry, and his meticulous craft shows. A viewing of the making of WALL-E reminds - or perhaps informs us - that when animation is made, nothing has a sound. Animated character movements are, by default, silent and every sound, down to the footsteps, must be done in real life before being uploaded to the film itself. The meticulous craft of Burtt and the entire sound team is an act of devotion and perfection that may go noticed by an inattentive viewer.Returning to my point made about WALL-E being the most thematically heavy film Pixar has ever made, such themes are technological advances, mass-consumerism, Christianity, love, corporation-takeover, and conformity. Consider the Buy N Large, the massive store in the sky that caters to an obese population of men and women that ride around in hovering seats, consuming food and drinks out of a cup, and wearing whatever the loudspeaker tells faithful shoppers what to where. The scene exploring the Buy N Large warehouse is a fascinating but poignant look at the effects of mass consumerism in America. It shows the kind of thing we'd like to believe we're immune to as humans but, unfortunately, are not and can be manipulated and directed in ways we never truly thought possible.The film was directed by Andrew Stanton, who largely led the team in creating Finding Nemo, one of Pixar's most renowned pictures for its emotionally touching story and beautiful animation. Finding Nemo featured some of the best animation, I believe, the CGI world has ever seen, and WALL-E's grittier, darker animation is not to be dismissed either. Stanton and the team of animators capture the vast landscapes of Earth and its desolate state, as well as space and its limited state. The animation is put to an incredible effect and Stanton proves to be worthy of operating with the animation company.WALL-E, too, shows a future where conformity is incredible. Everyone wears the same thing, possesses the same features, operates with little individualism, and function in the way where laziness appears to be something of an achievement. This is a frightening feature in a kids film; one that I don't see many young children picking up instantly. This isn't just the part of the film that keeps adults awake but keeps adults questioning the future we may be in for.Furthermore, the film works beautifully as a tone-piece and an amazingly made film in terms of grandiose animation and sound design. Ben Burtt's sound design and meticulous craft in pairing each obscure movement with a practical sound is easily the strongest thing in the film. Despite the lack of dialog, the film never fails to engage a viewer by showing them an unconventional love story that is made unpredictable because the way that Wall-E and EVE communicate is nonlinear and often ambiguous. These ingredients make WALL-E a truly stunning piece of animated art.Directed by: Andrew Stanton.","
            9/10
            "
"tieman64","9 April 2012","When Pixar's not sucking on the Disney Empire's sinister teat or filling landfills with discarded kitsch packaged in slow-to-biodegrade plastic and made by suicidal kids in China at environment destroying mega-factories...they're making eco-cautionary, anti corporatist films. In this regard we had the clean energy advocating ""Monster's Inc"" and ""Cars 2"", and the eco-loving, anti-consumerist, anti-corporate ""WALL-E"". Pixar's other films have a stranger tension, ""Cars"" decrying urban sprawl, gas guzzlers and life in the fast-lane by celebrating retro-cars, speedy races and old-school, ""good"", ""small town capitalism"", whilst the ""Toy Story"" movies yearn for the tactile, nostalgic pleasures of solid-state toys even as Pixar's dependence on pixels, processors and Pentiums pulverises whatever pull pre-digital entertainment ever had. Want to play with Mr Potato Head, honey? Screw that, Mom. Hit me some X-box. Now! Disney once performed a similar magic trick, making billions off public domain material whilst militantly copyrighting the same material (Disney lobbies were behind the drive to extend copyrights to a full century), aggressively suing everyone from the Academy Awards to daycare centres who dared place Snow Whites and Quasimodos in classrooms or playgrounds.Directed by Andrew Stanton, ""WALL-E"" revolves around a cute robot called WALL-E. He's (why do we assume WALL-E's male?) a cross between ET and ""Short Circuit's"" Johnny 5, with big robot eyes and a perpetually sad, puppy-dog look. When he's not mimicking old Chaplin, Keaton and Harold Lloyd routines, WALL-E's patrolling a now derelict planet Earth, stacking garbage, junk and dutifully doing his best to repair a polluted planet. Enter EVE, an apparently female robot who has been sent to Earth to scan for vegetation. While WALL-E resembles an old VHS system, EVE's a cross between a tampon and an Ipod, all sleek enamel, digital readouts and laser beams. The duo embark on an adventure which teaches us about the fragility and strengths of our ecosystem and condemns mega-corporations/branding/advertising/rampant-consumerism (shades of the sci-fi eco-parable ""Silent Running""), before launching into a second half which takes place upon the Axiom (literally, ""the worthy few""), a spaceship where fat, lazy humans are doted on by machines.The film's best moments occur in its first, Earth-bound quarter. Here our robots share a courtship that evokes Chaplin's ""Little Tramp"", ""Modern Times"", Virginia Cherrill's blind flower girl in ""City Lights"" and the love affair in Keaton's ""The General"". This section is also quite melancholic, WALL-E a lonely outcast thanklessly tasked with cleaning up humanity's mess. We feel for him. He's also a bit like Neville of Matheson's ""I am Legend"" (pet cockroach instead of dog), barricading himself in his bunker each night in an effort to escape sandstorms.Unfortunately the film quickly becomes Pixar's most saccharine, manipulative, contrived, obvious and heavy handed. Cheap death scenes are frequently rolled out to elicit tears (WALL-E keeps dying and his cockroach keeps getting squashed), WALL-E's big sad eyes are relentlessly milked, and the film's ""GARGANTUAN EMOTIONAL MOMENTS"" are mostly all forced and obvious. Throw in a generic ""red button"", ""ticking clock"", ""countdown to explosion"" finale, a series of second-rate action scenes (and obligatory ""poetic flying scenes""), last-minute villains (""2001's"" HAL meets ""Flight of the Navigator's"" Max), weak comedy, corny characters and you have one of Pixar's worst. The film also struggles to cook up interesting visuals and virtual sets, its aesthetics becoming conventional as soon as the film launches into outer space. Stanton's previous Pixar effort (""Finding Nemo"") kept its two sections – expansive ocean reefs and claustrophobic urban fish tanks – much more fresh. With ""WALL-E"" you've seen it all before.""WALL-E's"" message is all over the place, which upon release resulted in it being embraced by both American liberals (hug a tree!) and conservatives (pro free-market, anti big government). Regardless, the film has little real world bearing. Historically, machines increase work, obesity is linked to social class (ie, the poor, not the indolent) and in the real world consumerism/fatties are bolstered not by machines but skinny slave labour abroad. In this way ""WALL-E's"" a very white, middle class, American-centric film: it's an appeal to stop consuming and start recycling rather than a look into the reasons for and futility of both. Bizarrely, the film's ""anti-consumerism"" but fetishizes retro objects - silent films, Zippo lighters, plastic forks, hubcaps, Rubik's cubes, nuts, bolts and bits of treasure - treasure which WALL-E identifies as being representative of humanity. For WALL-E (cool: he's more a historian than garbage-bot), objects have souls, which is capitalist nostalgia axenic.Like most ""environmental films"", ""WALL'E's"" aching for a pure, untouched, unpolluted, pre-globalisation, pre-digital past. A return to the wilderness (see ""Survivors of the Dead""). And like these films (""Avatar"" etc), it wrongly turns ""environmentalism"" into a personal choice. But people are mostly frugal and it is systems, not people, which make society ""happen"". It is not your fault you're inundated with packaging, spam and products with short life-spans. Rather, capitalism as an ordering system hinges on waste, overproduction, expansion, over-accumulation, exponentially increasing consumption, and is designed such that most products go trashed and/or unsold (corporations destroy tonnes of merchandise to prevent sales on the black market and horde goods to manipulate demand/prices etc). It is the ""normal situation"" of bourgeois society for a great part of existing products and of the previously created productive forces, to be wasted. Much of this waste comes from an economic system which pits the same products against one another and requires copious labels and advertising as weaponry in this war. There can be no ""environmentalism"" or ""green movement"" unless one first radically re-figures our whole concept of production, wealth and ""money"" (wrongly, ""WALL-E"" is post money), ""money"" having long been exposed as a powerful political tool for expropriation, as opposed to a mere ""neutral medium of exchange"", as is commonly believed.7.5/10 – Almost as annoying as ""Avatar"".","
            9/10
            "
"happipuppi13","3 May 2022","Okay, to start, I can see there's enough reviews here to cover what the
movie is all about and I'm sure more than enough people have seen it.On seeing this myself , I can honestly say, ""Wall E"" is a very moving, touching, entertaining story. This movie's not only a feast for the eyes but an animated and well directed & acted example of emotional and compelling storytelling.I know by now, many are used to this form of animation and many stories told with it, can start to feel similar. I feel the story here though, is a very original one and quite serious in nature for a family film but , it's not so dark that it comes across as disturbing.While there are stretches of silence, where it replaces uneeded dialog, it did enhance the drama here and I liked that there wasn't a lot of dialog. The actions of WALL-E & EVE said it better than any lines that could have been written.It is quite a hefty storyline for young viewers to see a lone robot, in a devastated world, not only finding & feeling love but how that love helps in the salvation of the planet by his accidental flight to the space station where the human population now resides because of the devastation of the planet.The earth we see Wall-E in, is not just the ecological disaster area the world could become but also, should any survive and we actually go into space, generations later will never know about the kind of world we once lived in.The people being all overweight and lazy, is a metaphor for how little we seem to care right now about not only our planet but our own lives.That's why the ending is very important also. It honestly is up to the people of the world to do all possible to make sure this never happens.I liked the simpler animation used at the end, showing the earth being renewed while Peter Gabriel sings his great song ""Down To Earth"".The Oscar winning ""Wall-E"" will certainly be a
classic in animated films, if it isn't consideredd so alreadyTen Stars : E-asily! (END)","
            10/10
            "
"zetes","29 June 2008","I honestly want to throw every superlative I can think of at this movie. I'm an unabashed Pixar fan, and have been since Toy Story 2, but I was a little disappointed in their last two films, Cars and Ratatouille. Both were good, very good at times, but I don't think they hit the level of what came before. To me, WALL-E is a return to form. No, that's too weak. It's their peak. No, that's wrong, too. A ""peak"" implies that they're about to go down. I doubt that's true, although it's going to be hard to beat this one. WALL-E is my favorite of the Pixar films so far because I think it goes past the point of merely fantastic to that of being transcendent. It's a truly visionary film, one that inspired my jaw to drop over and over again. And it's intimate, too. It's hard to believe, but you're going to fall in love with a couple of robots when you watch the movie. And it's incredibly smart, too. Pixar has actually had this vein in most if not all of their movies, where they deliver moral lessons without any pandering whatsoever. The movie also contains deft social commentary. It's a pure joy to watch, and, without a doubt, one of the all-time great animated movies. Thank God for Pixar.","
            9/10
            "
"tankace","14 March 2016","Walle is a piece of art, I can't put it in other worlds apart of that, Pixar ,here, has created a new classic suited for our world ,who is based on scientific advancement, fears about the environment and how the future will be after wards.To add to that Walle is one of the cutest characters I have ever seen and his movie more than deserves the high rating it has. I remember very well when I went to cinema to see it with my school, is one of the few good memories I have from the years in junior high school. In summary, Walle is the cutest post-apocalyptic movie which has been made,is beautiful to watch and gives to the kids good lesson about the way we treat our planet, this blue dot in the sky to paraphrase Carl Seagan.","
            10/10
            "
"ACollegeStudent","11 June 2021","Rating: 8.0Solid film overall, from what I remember it looked clean and ended well. Delivered it's themes and messages clearly.","
            10/10
            "
"Groverdox","27 February 2023","I think I've failed ""WALL-E"". It seemed like there's a great movie in there somewhere. I just wasn't able to focus on it for long enough to detect it. I don't know why. The movie just barely held my attention. It's true that my attention span sucks. But if anything would be easy to focus on for its whole length, it'd be a movie from Pixar, the Disney of CGI animation.So what went wrong? I don't know. This was a re-watch: I thought I might get more out of ""WALL-E"" a second time. I was wrong.I understood the basic premise of the movie, ie. A lone robot tasked with cleaning up Earth falls in love with an extra-terrestrial robot sent to find signs of sustainability.After that, though, it lost me, and I just wasn't able to concentrate on it.","
            9/10
            "
"cosmorados","27 January 2009","As the film starts in space with a song from Hello Dolly, you wonder just quite what you're getting yourself into. A few moments later we are transported to Earth, up-to-it's eyeballs in garbage, however help is at hand, in the cuboid shape of WALL-E, a waste allocation load lifter, Earth-class. Once WALL-E was part of a huge herd of robotic trash compactors built to help the human race get out of the mess it had made, while they stayed in space, waiting for everything to be sorted. However, it's 700 years later and only one WALL-E is left and on his own he has become a tad eccentric. With only a cockroach as a friend he spends his time doing his job and trying to learn more about the people who once inhabited this little world. Of course if that was the entire film it wouldn't be very good and shortly after it starts WALL-E is joined by EVE, a far more advanced model whose mission is a secret.This is Pixar's most ambitious film to date. From the moment the title appears and the music really kicks in we feel this is different to the cutesy world of superheroes and talking cars and animals that have gone before. This is a film that has elements that are grim, unsettling and ask difficult questions about what we are doing as custodian's of the planet. The script and story are an absolute triumph as the skill's of the animator's to make those hundred's of pixels perform in such charming, heart-warming ways is a joy to watch.The pacing of the film, unlike Nemo, The Incredibles and Cars is flawless and you get the feeling that a lot was sacrificed to keep that running time as tight and precise as it is. There is not a frame wasted, nor one shot too many. However, the thing that gets me most about this film, no matter how many times I watch this film I see something new that I haven't seen before. The lighting looks like a real film, the pauses and reactions from the robot performers are exquisite with more than a nod being shown to the silent pioneers at the turn of the last century who started this thing called cinema off. After watching this I think they'd be proud to see how far their medium has come.There's a saying that you can't polish a turd, and sadly in the media these days hundreds of millions of dollars are spent polishing so many expensive summer turds (Dark Knight anyone?) This was a joy to watch and discover that in spite of the stupidity of this business of show, there are still worlds full of sparkle, Barnaby! A Masterpiece of the medium.Nuff said.","
            10/10
            "
"movie-viking","6 November 2009","Yes, there's the politically correct ""too much garbage and too much commercialism"" stuff...But what SHINES OUT is - Wall*E caring for the (apparently) comatose Eve...Reminds me of seeing an elderly man lovingly wheel his disabled wife around...of parents adopting an abused wheelchair bound child in Foster Care...of my uncle caring for my once-comatose aunt...And nice to see that the ""defective"" robots (in a scene which seems to be a ""mental ward"") are needed to defeat the bad guys---Even their frantic or bizarre behaviors confound the well programmed robot warriors...That's the POLITICALLY UNFASHIONABLE but HUMAN AFFIRMING message that will make Wall*E at least a good movie 30 years from now...","
            9/10
            "
"insomniac_rod","29 December 2009","WALL-E is more than an animated feature film. It's a lesson in all aspects for any film fanatic.This movie delivered expectations. It delivers a message towards humanity, how we should respect nature and life overall. But it also has to do with loyalty, kindness, love, friendship and more values that aren't explored in modern cinema.The visuals are breath taking. To be honest, after 15 minutes of it's running time, I felt it was a cold film only based on spectacular animation and a CGI world. But I was very wrong. Soon after WALL-E finds Eva things get better in all aspects. The movie turns out to be a fantastical experience in terms of positivity, delivering a human and social message and it entertains us.Heck, it even makes us feel sad and powerful (all about WALL-E getting whacked and then recovering).This is by far one of the best movies of the decade. It teaches and makes you feel.","
            10/10
            "
